ID,Temperature,Treatment,Clone,Experiment,Growth2,maxInduction,Growth1
C14_24_C4_A,24,Control,C14,Acclim,0.099392117,40,0.202477312
D10A13_24_C2_A,24,Control,D10_A13,Acclim,0.134360331,0,0.254254387
D1081_24_P1,24,Predator,D10_81,Acute,0.113138646,10,0.224413504
D1081_24_P2,24,Predator,D10_81,Acute,0.11247743,40,0.224631989
D1081_24_P3,24,Predator,D10_81,Acute,0.114417551,20,0.221950007
D86A_24_P2_A,24,Predator,D86_A,Acclim,NA,0,NA
D86A_24_P3_A,24,Predator,D86_A,Acclim,NA,0,NA
LD33_24_P1_A,24,Predator,LD33,Acclim,0.129826153,NA,0.164966493
LD33_24_P1_A,24,Predator,LD33,Acclim,0.129826153,NA,0.164966493
LD33_24_P2_A,24,Predator,LD33,Acclim,0.134383535,NA,0.169329682
LD33_24_P2_A,24,Predator,LD33,Acclim,0.134383535,NA,0.169329682
LD33_24_P3_A,24,Predator,LD33,Acclim,0.129589689,NA,0.165310267
LD33_24_P3_A,24,Predator,LD33,Acclim,0.129589689,NA,0.165310267
D1081_24_P1_A,24,Predator,D10_81,Acclim,0.147791343,80,0.201355129
D1045_28_C2,28,Control,D10_45,Acute,0.154321981,10,0.192028121
D87A_28_C1,28,Control,D87_A,Acute,0.150080466,NA,0.180044725
D87A_28_C3,28,Control,D87_A,Acute,0.141020266,NA,0.169950847
D87A_28_P1,28,Predator,D87_A,Acute,0.126234435,40,0.175939159
D87A_28_P2,28,Predator,D87_A,Acute,0.131012179,40,0.172353692
D87A_28_C3_A,28,Control,D87_A,Acclim,0.071394092,10,0.201835303
C14_28_C1,28,Control,C14,Acute,0.108444385,10,0.193904341
C14_28_C2,28,Control,C14,Acute,0.119221604,20,0.209646092
AD10_1_28_C1_A,28,Control,AD10_1,Acclim,0.098304845,0,0.134805228
AD10_1_28_C3_A,28,Control,AD10_1,Acclim,0.116918882,0,0.158553304
D1045_28_P2_A,28,Predator,D10_45,Acclim,0.136100957,10,0.200799262
D1045_28_P3_A,28,Predator,D10_45,Acclim,0.118687279,10,0.18956414
C14_28_P1_A,28,Predator,C14,Acclim,0.116124708,60,0.208863841
C14_28_P2_A,28,Predator,C14,Acclim,0.122158797,60,0.19788637
C14_28_P3_A,28,Predator,C14,Acclim,0.117201629,70,0.211014296
AD10_1_28_P2_A,28,Predator,AD10_1,Acclim,0.058827575,10,0.201796874
D86A_28_P3,28,Predator,D86_A,Acute,0.096384717,0,0.136131634
D10A14_28_P1,28,Predator,D10_A14,Acute,0.129797755,0,0.17482408
D86A_28_P1_A,28,Predator,D86_A,Acclim,0.17696292,30,0.20942152
D86A_28_P2_A,28,Predator,D86_A,Acclim,0.174759299,10,0.197284735
D86A_28_P3_A,28,Predator,D86_A,Acclim,0.17974238,10,0.21367403
LD33_16_P1,16,Predator,LD33,Acute,0.14068412,60,0.1422142
LD33_16_P2,16,Predator,LD33,Acute,0.145439786,50,0.151212217
LD33_16_P3,16,Predator,LD33,Acute,0.148045163,50,0.145412985
AD10_1_20_C1,20,Control,AD10_1,Acute,0.121185066,10,0.113751388
AD10_1_20_C2,20,Control,AD10_1,Acute,0.128812599,10,0.109792666
AD10_1_20_C3,20,Control,AD10_1,Acute,0.12374714,10,0.115634932
D1045_20_C2,20,Control,D10_45,Acute,0.142743935,10,0.18152859
D1045_20_P1,20,Predator,D10_45,Acute,0.145083398,10,0.184198081
D87A_20_C1,20,Control,D87_A,Acute,0.135002116,0,0.165798249
D87A_20_P1,20,Predator,D87_A,Acute,0.120519707,40,0.165319295
D87A_20_P2,20,Predator,D87_A,Acute,0.124821468,40,0.169773944
D87A_20_P3,20,Predator,D87_A,Acute,0.119904342,NA,0.16336854
LD33_20_C1,20,Control,LD33,Acute,0.120770154,30,0.164823789
LD33_20_C2,20,Control,LD33,Acute,0.118532029,10,0.165182158
LD33_20_C3,20,Control,LD33,Acute,0.118522357,20,0.167530329
LD33_20_P1,20,Predator,LD33,Acute,0.120454399,70,0.171152586
LD33_20_P2,20,Predator,LD33,Acute,0.129005664,70,0.179830441
C14_20_C2,20,Control,C14,Acute,0.114095668,20,0.147185018
LD33_20_C1_A,20,Control,LD33,Acclim,0.112924073,10,0.152182098
LD33_20_C2_A,20,Control,LD33,Acclim,0.111059553,10,0.155482042
LD33_20_C3_A,20,Control,LD33,Acclim,0.108606356,10,0.159137399
D87A_20_C1_A,20,Control,D87_A,Acclim,0.123476397,0,0.157762371
D87A_20_C2_A,20,Control,D87_A,Acclim,0.118653648,0,0.157853704
D87A_20_C3_A,20,Control,D87_A,Acclim,0.124862191,0,0.162830692
D1045_20_C1_A,20,Control,D10_45,Acclim,0.131755741,0,0.172856737
D1045_20_C2_A,20,Control,D10_45,Acclim,0.127074361,10,0.169315845
D1045_20_C3_A,20,Control,D10_45,Acclim,0.126610817,10,0.163502634
LD33_20_P2_A,20,Predator,LD33,Acclim,0.114887181,50,0.120618934
D87A_20_P1_A,20,Predator,D87_A,Acclim,0.122417061,0,0.157537233
Cyril_20_C1,20,Control,Cyril,Acute,0.11804601,0,0.162241524
Cyril_20_C2,20,Control,Cyril,Acute,0.114342492,0,0.160920972
Cyril_20_C3,20,Control,Cyril,Acute,0.125056223,0,0.171297706
D1081_20_C1,20,Control,D10_81,Acute,0.145505447,0,0.188787354
D10A13_20_C1,20,Control,D10_A13,Acute,0.120332064,60,0.153017877
Cyril_20_P1,20,Predator,Cyril,Acute,0.126606154,10,0.148333123
Cyril_20_P2,20,Predator,Cyril,Acute,0.131197381,10,0.173720468
D86A_20_C3,20,Control,D86_A,Acute,NA,0,0.133124106
Cyril_20_P1_A,20,Predator,Cyril,Acclim,0.137350541,0,0.179825207
Cyril_20_P2_A,20,Predator,Cyril,Acclim,0.141117895,0,0.172610408
Cyril_20_P3_A,20,Predator,Cyril,Acclim,0.13684895,0,0.172455859
D10A13_20_C1_A,20,Control,D10_A13,Acclim,NA,20,0.167454826
D10A13_20_C3_A,20,Control,D10_A13,Acclim,0.130699206,20,0.170344432
C14_20_C1_A,20,Control,C14,Acclim,0.129432551,30,0.171688249
C14_20_C2_A,20,Control,C14,Acclim,0.131479529,30,0.173750624
C14_20_C3_A,20,Control,C14,Acclim,0.128134457,30,0.175278255
D86A_20_C1_A,20,Control,D86_A,Acclim,0.126658024,10,0.168005346
D86A_20_C2_A,20,Control,D86_A,Acclim,0.130400958,10,0.179539572
D86A_20_C3_A,20,Control,D86_A,Acclim,0.129715548,10,0.17766256
D1081_20_C1_A,20,Control,D10_81,Acclim,0.149606387,0,0.194017426
D1081_20_C2_A,20,Control,D10_81,Acclim,0.1492964,0,0.205141897
D1045_20_P1_A,20,Predator,D10_45,Acclim,0.129784002,10,0.175282561
D1045_20_P2_A,20,Predator,D10_45,Acclim,0.133551252,10,0.181555964
D1081_20_P1_A,20,Predator,D10_81,Acclim,0.138739877,20,0.180083423
D86A_20_P2_A,20,Predator,D86_A,Acclim,0.117586412,0,0.163471542
D86A_20_P3_A,20,Predator,D86_A,Acclim,0.122607403,0,0.171778683
D1045_24_C1,24,Control,D10_45,Acute,0.155898868,10,0.176692423
D87A_24_C2,24,Control,D87_A,Acute,0.125983026,0,0.159083313
LD33_24_P2,24,Predator,LD33,Acute,0.130299874,50,0.157872598
C14_24_C1,24,Control,C14,Acute,0.103576925,20,0.175121289
C14_24_C3,24,Control,C14,Acute,0.103625532,20,0.158733427
AD10_1_24_P1,24,Predator,AD10_1,Acute,0.131859563,NA,0.176405946
D87A_24_C1_A,24,Control,D87_A,Acclim,0.077703383,0,0.126884101
D87A_24_C2_A,24,Control,D87_A,Acclim,0.07287562,0,0.123648673
D87A_24_C3_A,24,Control,D87_A,Acclim,0.073326152,0,0.125228122
LD33_24_P1_A,24,Predator,LD33,Acclim,0.129826153,NA,0.164966493
LD33_24_P1_A,24,Predator,LD33,Acclim,0.129826153,NA,0.164966493
LD33_24_P2_A,24,Predator,LD33,Acclim,0.134383535,NA,0.169329682
LD33_24_P2_A,24,Predator,LD33,Acclim,0.134383535,NA,0.169329682
LD33_24_P3_A,24,Predator,LD33,Acclim,0.129589689,NA,0.165310267
LD33_24_P3_A,24,Predator,LD33,Acclim,0.129589689,NA,0.165310267
D10_A14_24_P2,24,Predator,D10_A14,Acute,0.149135775,NA,NA
D10_A14_24_P3,24,Predator,D10_A14,Acute,0.143754704,NA,NA
D87A_24_P1_A,24,Predator,D87_A,Acclim,0.114284658,NA,0.162675692
D87A_24_P2_A,24,Predator,D87_A,Acclim,0.108399752,NA,0.161249078
D87A_24_P3_A,24,Predator,D87_A,Acclim,0.11029573,NA,0.158891504
D1045_24_P2_A,24,Predator,D10_45,Acclim,0.091118085,NA,0.115625265
D1045_24_P3_A,24,Predator,D10_45,Acclim,0.140170282,NA,0.139563116
D87A_24_C4_A,24,Control,D87_A,Acclim,0.080237775,0,0.149909649
D87A_24_C5_A,24,Control,D87_A,Acclim,0.095852968,0,0.184028491
D87A_24_C6_A,24,Control,D87_A,Acclim,NA,0,0.170778199
D10_A14_24_P2_A,24,Predator,D10_A14,Acclim,0.091641258,10,0.136318798
D10_A14_24_P3_A,24,Predator,D10_A14,Acclim,0.093751085,10,0.138642577
D10A14_24_C2,24,Control,D10_A14,Acute,NA,10,NA
D10A14_24_C3,24,Control,D10_A14,Acute,0.140540534,0,NA
C14_24_P3_A,24,Predator,C14,Acclim,0.133596964,60,0.164394906
C14_24_P3_A,24,Predator,C14,Acclim,0.133596964,60,0.164394906
AD101_24_P1_A,24,Predator,AD10_1,Acclim,0.154885396,0,0.197002455
AD101_24_P2_A,24,Predator,AD10_1,Acclim,0.171266876,10,0.197932222
D87A_24_C1_A2,24,Control,D87_A,Acclim,0.132367903,0,0.163253086
D86A_24_P1,24,Predator,D86_A,Acute,0.101334615,0,0.14436272
D10A14_24_C1_A,24,Control,D10_A14,Acclim,0.162119211,10,0.197202594
D10A14_24_C2_A,24,Control,D10_A14,Acclim,0.167147847,10,0.199622484
D86A_24_C2_A,24,Control,D86_A,Acclim,0.100513987,10,0.172573964
D86A_24_C3_A,24,Control,D86_A,Acclim,0.100412207,10,0.172518989
LD33_24_C1_A,24,Control,LD33,Acclim,0.119842834,50,0.1545972
LD33_24_C1_A,24,Control,LD33,Acclim,0.119842834,50,0.1545972
D1081_24_C1_A,24,Control,D10_81,Acclim,0.142659801,30,0.188666551
D1081_24_C2_A,24,Control,D10_81,Acclim,0.137995315,10,0.183724105
D1081_24_C3_A,24,Control,D10_81,Acclim,0.135932038,40,0.179018128
D1081_24_P2_A,24,Predator,D10_81,Acclim,0.154605793,40,0.196519251
D1081_24_P3_A,24,Predator,D10_81,Acclim,0.154096618,40,0.189513095
D1045_28_P3,28,Predator,D10_45,Acute,0.139356128,20,0.168457939
D87A_28_C2,28,Control,D87_A,Acute,0.131966037,NA,0.161955453
C14_28_P1,28,Predator,C14,Acute,0.088829549,90,0.160944708
C14_28_P2,28,Predator,C14,Acute,0.087358058,60,0.154136476
D87A_28_C1_A,28,Control,D87_A,Acclim,0.048574508,10,0.145710425
D87A_28_C2_A,28,Control,D87_A,Acclim,0.05625214,10,0.168464523
AD10_1_28_P2,28,Predator,AD10_1,Acute,0.089889819,20,0.152219715
D1045_28_P1_A,28,Predator,D10_45,Acclim,0.129821802,10,0.150246631
AD10_1_28_P3_A,28,Predator,AD10_1,Acclim,0.139184564,0,0.163438575
D86A_28_C2,28,Control,D86_A,Acute,0.117402254,10,NA
D86A_28_C3,28,Control,D86_A,Acute,0.095752433,10,NA
AD101_28_P2_A,28,Predator,AD10_1,Acclim,0.137087232,10,0.177885138
C14_28_P2_A2,28,Predator,C14,Acclim,0.13263622,40,0.146049499
C14_28_P3_A2,28,Predator,C14,Acclim,0.154606745,10,0.183921856
D86A_28_P1,28,Predator,D86_A,Acute,0.104364175,0,0.141187165
D86A_28_P2,28,Predator,D86_A,Acute,0.103124167,0,0.136339288
D10A14_28_P2,28,Predator,D10_A14,Acute,0.122049503,0,0.148630904
D10A14_28_C1_A,28,Control,D10_A14,Acclim,0.132946555,10,0.163630986
D10A14_28_C2_A,28,Control,D10_A14,Acclim,0.136615188,10,0.169118402
D10A14_28_C3_A,28,Control,D10_A14,Acclim,0.140779438,50,0.177208248
D86A_28_C1_A,28,Control,D86_A,Acclim,0.117734319,30,0.181338363
D86A_28_C3_A,28,Control,D86_A,Acclim,0.123233033,40,0.172169168
D10A14_28_P2_A,28,Predator,D10_A14,Acclim,0.095423797,10,0.175576888
D10A14_28_P3_A,28,Predator,D10_A14,Acclim,0.124131006,40,0.159270143
Cyril_16_C1,16,Control,Cyril,Acute,0.147968816,0,0.141785886
Cyril_16_C2,16,Control,Cyril,Acute,0.146206424,0,0.139199766
Cyril_16_C3,16,Control,Cyril,Acute,0.151774876,0,0.141964916
C14_16_P2_A,16,Predator,C14,Acclim,0.105351175,80,0.139481037
D87A_16_P1_A,16,Predator,D87_A,Acclim,0.100353585,10,0.135739064
D87A_16_P2_A,16,Predator,D87_A,Acclim,0.096255721,10,0.134181138
AD101_16_P1_A,16,Predator,AD10_1,Acclim,NA,30,NA
AD101_16_P2_A,16,Predator,AD10_1,Acclim,0.094777788,20,0.131961088
D1045_20_P2,20,Predator,D10_45,Acute,0.135337878,10,0.164961851
D87A_20_C2,20,Control,D87_A,Acute,0.115678956,0,0.140969873
D87A_20_C3,20,Control,D87_A,Acute,0.116082727,0,0.140433407
C14_20_P1,20,Predator,C14,Acute,0.044557479,60,0.168279411
C14_20_P3,20,Predator,C14,Acute,0.016446326,60,0.146685306
D10A14_20_C3,20,Control,D10_A14,Acute,0.113744253,0,0.147136462
D1081_20_P1,20,Predator,D10_81,Acute,0.141913967,0,NA
D1081_20_P2,20,Predator,D10_81,Acute,0.136099031,10,0.183367339
C14_20_P1_A,20,Predator,C14,Acclim,0.115903251,60,0.148667036
C14_20_P2_A,20,Predator,C14,Acclim,0.119387178,70,0.148695899
D86A_20_P1,20,Predator,D86_A,Acute,0.138685282,0,0.138515113
D86A_20_P2,20,Predator,D86_A,Acute,0.141515139,0,0.143954223
D86A_20_P3,20,Predator,D86_A,Acute,0.13646243,0,0.137314294
D10A14_20_P1,20,Predator,D10_A14,Acute,0.134495861,30,0.163500804
D10A14_20_P2,20,Predator,D10_A14,Acute,0.125051561,20,0.157484716
AD101_20_C1_A,20,Control,AD10_1,Acclim,0.118127724,10,0.154382084
AD101_20_C3_A,20,Control,AD10_1,Acclim,0.098691102,20,0.134240516
AD101_20_P1_A,20,Predator,AD10_1,Acclim,0.149585536,80,0.144112911
AD101_20_P2_A,20,Predator,AD10_1,Acclim,0.146382541,50,0.141442839
AD101_20_P3_A,20,Predator,AD10_1,Acclim,0.149518347,40,0.144940423
D1045_20_P3_A,20,Predator,D10_45,Acclim,0.10427096,10,0.140807409
D86A_20_P1_A,20,Predator,D86_A,Acclim,0.095994747,10,0.134869812
D10A14_20_P1_A,20,Predator,D10_A14,Acclim,0.100442502,60,0.138858497
D10A14_20_P2_A,20,Predator,D10_A14,Acclim,0.101134228,50,0.136241474
LD33_24_P1,24,Predator,LD33,Acute,0.134443522,60,0.152592315
LD33_24_P3,24,Predator,LD33,Acute,0.132335367,60,0.140992384
C14_24_P2,24,Predator,C14,Acute,0.125206213,NA,0.152919142
C14_24_P3,24,Predator,C14,Acute,0.102544178,NA,0.134073228
D86A_24_C3,24,Control,D86_A,Acute,NA,0,0.15124224
D10A13_24_C1_A,24,Control,D10_A13,Acclim,0.119945889,0,0.190181388
AD10_1_28_C2,28,Control,AD10_1,Acute,0.113588478,10,0.09687243
AD10_1_28_P1,28,Predator,AD10_1,Acute,NA,20,NA
D87A_28_P1_A,28,Predator,LD33,Acclim,0.081793158,0,0.11743348
D87A_28_P3_A,28,Predator,D87_A,Acclim,0.134881906,10,0.159489857
C14_28_C1_A,28,Control,C14,Acclim,0.091502533,0,0.114915084
C14_28_C2_A,28,Control,C14,Acclim,0.084655226,0,0.120249339
AD101_28_P3_A,28,Predator,AD10_1,Acclim,0.12833536,10,0.164361764
D10A14_28_P1_A,28,Predator,D10_A14,Acclim,0.115421716,20,0.148302182
LD33_16_C1,16,Control,LD33,Acute,0.092096697,10,0.12660888
LD33_16_C2,16,Control,LD33,Acute,0.114888691,30,0.114620738
LD33_16_C3,16,Control,LD33,Acute,0.105911654,60,0.107090832
AD10_1_16_C1,16,Control,AD10_1,Acute,0.129626679,10,0.128447927
AD10_1_16_C2,16,Control,AD10_1,Acute,0.123852662,10,0.12275311
AD10_1_16_C3,16,Control,AD10_1,Acute,0.127212056,10,0.124557961
C14_16_C3,16,Control,C14,Acute,0.080254701,50,0.105050919
D10_A14_16_P2,16,Predator,D10_A14,Acute,0.130493549,50,0.134845485
LD33_16_C1_A,16,Control,LD33,Acclim,0.076150095,20,0.106088911
LD33_16_C3_A,16,Control,LD33,Acclim,0.075766975,10,0.108248749
Cyril_16_P1,16,Predator,Cyril,Acute,0.089802271,10,0.118831765
D10A13_16_P1,16,Predator,D10_A13,Acute,0.087942786,10,0.120764445
D10A14_16_C3,16,Control,D10_A14,Acute,0.142345082,10,0.13739394
D86A_16_P1,16,Predator,D86_A,Acute,NA,0,0.129276778
Cyril_16_C1_A,16,Control,Cyril,Acclim,0.125263612,0,0.130259933
Cyril_16_C2_A,16,Control,Cyril,Acclim,0.129226537,0,0.131773314
Cyril_16_C3_A,16,Control,Cyril,Acclim,0.12722077,0,0.132429857
D1081_16_P1,16,Predator,D10_81,Acute,0.099550264,0,0.128878703
D10A13_16_C1_A,16,Control,D10_A13,Acclim,0.08762843,10,0.120121061
D10A13_16_C3_A,16,Control,D10_A13,Acclim,0.088232402,10,0.121468476
D1045_16_P1_A,16,Predator,D10_45,Acclim,0.132292299,40,0.132292299
D1045_16_P2_A,16,Predator,D10_45,Acclim,0.13511744,50,0.132701008
Cyril_16_P2_A,16,Predator,Cyril,Acclim,0.129492319,10,0.133723182
Cyril_16_P3_A,16,Predator,Cyril,Acclim,0.126949401,10,0.129530907
D10A13_16_P1_A,16,Predator,D10_A13,Acclim,0.092079037,20,0.129648942
D10A13_16_P2_A,16,Predator,D10_A13,Acclim,0.11999292,70,0.123824
D10A13_16_P3_A,16,Predator,D10_A13,Acclim,0.090676005,40,0.128355686
D10A14_16_C1_A,16,Control,D10_A14,Acclim,0.085342657,20,0.121561984
D10A14_16_C2_A,16,Control,D10_A14,Acclim,0.084118059,10,0.121223903
D10A14_16_C3_A,16,Control,D10_A14,Acclim,0.084551299,10,0.120166253
D86A_16_P2_A,16,Predator,D86_A,Acclim,0.115978269,10,0.117192713
D86A_16_P3_A,16,Predator,D86_A,Acclim,0.111993881,0,0.113004668
D86A_16_C1_A,16,Control,D86_A,Acclim,0.075032847,10,0.11424699
D86A_16_C2_A,16,Control,D86_A,Acclim,0.072391075,0,0.103593889
D86A_16_C3_A,16,Control,D86_A,Acclim,0.07754346,0,0.111393964
LD33_16_P2_A,16,Predator,LD33,Acclim,0.10588715,100,0.103625432
D1045_20_C1,20,Control,D10_45,Acute,0.115961607,10,0.133132778
LD33_20_P3,20,Predator,LD33,Acute,0.13590087,60,0.134022755
LD33_20_P1_A,20,Predator,LD33,Acclim,0.112644629,60,0.140991294
LD33_20_P3_A,20,Predator,LD33,Acclim,0.087866898,50,0.124420549
D87A_20_P2_A,20,Predator,D87_A,Acclim,0.111772995,10,0.134419428
D87A_20_P3_A,20,Predator,D87_A,Acclim,0.107957435,10,0.133137537
Cyril_20_C1_A,20,Control,Cyril,Acclim,0.128965211,NA,0.12961682
Cyril_20_C2_A,20,Control,Cyril,Acclim,0.1222163,NA,0.127913488
Cyril_20_C3_A,20,Control,Cyril,Acclim,0.126655875,NA,0.129994972
D10A14_20_C1,20,Control,D10_A14,Acute,0.146797392,10,0.147393104
D10A14_20_C2,20,Control,D10_A14,Acute,0.144003186,10,0.158604812
D1081_20_C2,20,Control,D10_81,Acute,NA,10,0.120780208
D10A13_20_P3,20,Predator,D10_A13,Acute,0.090940276,10,0.11250697
D1081_20_P3_A,20,Predator,D10_81,Acclim,0.113664824,10,0.14229661
AD10_1_24_P2,24,Predator,AD10_1,Acute,0.097675527,NA,0.132970142
AD10_1_24_P3,24,Predator,AD10_1,Acute,0.089137712,NA,0.120378514
AD10_1_28_P3,28,Predator,AD10_1,Acute,0.122919406,20,0.133827086
D1045_16_C1,16,Control,D10_45,Acute,0.116702894,20,0.116214148
D1045_16_C2,16,Control,D10_45,Acute,0.111174838,10,0.113201261
D1045_16_C3,16,Control,D10_45,Acute,0.110655537,10,0.113617487
D1045_16_P3,16,Predator,D10_45,Acute,0.116857879,10,0.117310091
D87A_16_C1,16,Control,D87_A,Acute,0.102416719,0,0.102666738
D87A_16_C2,16,Control,D87_A,Acute,0.101781026,0,0.104987991
D87A_16_P1,16,Predator,D87_A,Acute,0.108146395,40,0.109536162
D87A_16_P3,16,Predator,D87_A,Acute,0.099195501,30,0.096563414
C14_16_P1,16,Predator,C14,Acute,0.109832043,70,0.10892446
C14_16_P2,16,Predator,C14,Acute,0.116830937,60,0.117981677
C14_16_P3,16,Predator,C14,Acute,0.113473953,80,0.1124754
D10_A14_16_P1,16,Predator,D10_A14,Acute,0.120032352,40,0.120948237
D10_A14_16_P3,16,Predator,D10_A14,Acute,0.113550727,40,0.117274212
D1081_16_C1,16,Control,D10_81,Acute,0.098182987,10,0.130237813
D86A_16_C1,16,Control,D86_A,Acute,NA,0,NA
D86A_16_C2,16,Control,D86_A,Acute,0.123910924,10,0.121627738
D86A_16_C3,16,Control,D86_A,Acute,0.118102729,0,0.116445697
D1081_16_P2,16,Predator,D10_81,Acute,0.10716587,10,0.135442991
D86A_16_P2,16,Predator,D86_A,Acute,0.112882355,0,0.135016775
D86A_16_P3,16,Predator,D86_A,Acute,0.117472289,10,0.137230114
AD101_16_C2_A,16,Control,AD10_1,Acclim,0.100102381,30,0.100102381
C14_16_P3_A,16,Predator,C14,Acclim,0.099357953,70,0.122125707
AD10_1_20_P1,20,Predator,AD10_1,Acute,0.096576609,50,0.122353996
AD10_1_20_P2,20,Predator,AD10_1,Acute,0.091435369,50,0.112796693
AD10_1_20_P3,20,Predator,AD10_1,Acute,0.095111884,50,0.118943337
D86A_20_C1,20,Control,D86_A,Acute,0.111887653,10,0.133460543
D86A_20_C2,20,Control,D86_A,Acute,0.103319864,0,0.113350311
D1081_20_C4,20,Control,D10_81,Acute,NA,10,0.114179415
D10A13_20_P2,20,Predator,D10_A13,Acute,0.086261555,10,0.088220743
