Clone,Temperature,Experiment,Treatment,Ro.B3,Ro.B2,Ro.B1,MeanSGrowth,seSGrowth,meanMaxInd,seMaxInd
C14,24,Acute,Control,5.94,5.94,2.31,0.174199195,0.00867524,20,0
C14,24,Acute,Predator,11.33,11.33,5,0.138050737,0.00769742,NA,NA
C14,28,Acclim,Control,8.955,7.305,3.015,0.117582212,0.002667128,6.666666667,3.333333333
C14,28,Acclim,Predator,7.3355,4.6705,2.158,0.189547172,0.011889502,45,9.219544457
C14,28,Acute,Control,4.995,4.995,3.015,0.201775216,0.007870876,16.66666667,3.333333333
C14,28,Acute,Predator,5.655,5.655,3.015,0.157540592,0.003404116,75,15
Cyril,13,Acclim,Control,29.67,20,10,0.091190448,0.00062227,0,0
Cyril,13,Acclim,Predator,32.05,22.67,11,0.102823245,0.000531914,30,10
Cyril,13,Acute,Control,18.5,18.5,18.5,0.067813619,0.000858193,0,0
Cyril,13,Acute,Predator,21.44,21.44,9.38,0.073179293,0.003064242,40,0
Cyril,16,Acclim,Control,29.67,29.67,12.67,0.131487701,0.000642475,0,0
Cyril,16,Acclim,Predator,43.67,29.67,12,0.123685642,0.008033086,10,0
Cyril,16,Acute,Control,16.33,16.33,5.33,0.140983523,0.000893374,0,0
Cyril,16,Acute,Predator,37.5,37.5,12.5,0.11615574,0.001745973,6.666666667,3.333333333
Cyril,20,Acclim,Control,36.99,19.66,11.33,0.129175093,0.000640178,NA,NA
Cyril,20,Acclim,Predator,43.67,28.67,10.67,0.174963825,0.002431101,0,0
Cyril,20,Acute,Control,28,28,10.67,0.164820068,0.003261176,0,0
Cyril,20,Acute,Predator,32.34,32.34,9.67,0.178933377,0.019348266,10,0
Cyril,24,Acclim,Control,13.66,11.02,7.67,0.173802753,0.007104714,0,0
Cyril,24,Acclim,Predator,12.67,12.67,12.67,0.196615888,0.001258577,10,0
Cyril,24,Acute,Control,23.33,23.33,10,0.202941836,0.001938201,0,0
Cyril,24,Acute,Predator,21.33,21.33,8,0.254997236,0.000679666,10,5.773502692
Cyril,28,Acclim,Control,32.33,10.33,3.33,0.229375209,0.004019947,0,0
Cyril,28,Acute,Control,11.69,11.69,7,0.245940109,0.005670348,0,0
Cyril,28,Acute,Predator,16.33,16.33,6.33,0.242464734,0.001551425,0,0
D10_45,13,Acclim,Control,17.705,17.705,10.67,0.089474594,0.00245363,13.33333333,3.333333333
D10_45,13,Acclim,Predator,6.33,6.33,6.33,0.077358284,0.002164392,46.66666667,18.55921454
D10_45,13,Acute,Control,17.67,17.67,9,0.064502289,0.003115796,23.33333333,13.33333333
D10_45,13,Acute,Predator,16.6,16.6,10,0.075769037,0.001227473,30,10
D10_45,16,Acclim,Control,20,15.33,6,0.104197856,0.001471104,13.33333333,3.333333333
D10_45,16,Acclim,Predator,35.5,22.17,9.5,0.117530646,0.014966472,50,5.773502692
D10_45,16,Acute,Control,15,15,4,0.114344299,0.000942614,13.33333333,3.333333333
D10_45,16,Acute,Predator,22.33,22.33,8.33,0.10727876,0.010031332,33.33333333,12.01850425
D10_45,20,Acclim,Control,21.66,13.33,5.33,0.168558405,0.002726726,6.666666667,3.333333333
D10_45,20,Acclim,Predator,20.35,16.33,10,0.165881978,0.012667405,10,0
D10_45,20,Acute,Control,7.035,7.035,3.015,0.157330684,0.024197906,10,0
D10_45,20,Acute,Predator,11.655,11.655,7.035,0.174579966,0.009618115,16.66666667,6.666666667
D10_45,24,Acclim,Control,2.345,2.345,2.345,0.285810023,0.021061887,10,0
D10_45,24,Acclim,Predator,5.3,3.32,1.34,0.127594191,0.011968925,NA,NA
D10_45,24,Acute,Control,4.02,4.02,1.675,0.19595993,0.009667616,10,0
D10_45,24,Acute,Predator,17.66,10.66,5.33,0.221905887,0.00102231,10,0
D10_45,28,Acclim,Predator,0.99,0.99,0.33,0.180203344,0.015325474,10,0
D10_45,28,Acute,Control,3.015,3.015,3.015,0.192028121,NA,10,0
D10_45,28,Acute,Predator,2.97,2.97,0.99,0.168457939,NA,13.33333333,3.333333333
D10_81,13,Acclim,Control,14,14,5.5,0.097824504,0.001365815,10,0
D10_81,13,Acclim,Predator,13.705,12.03,6.67,0.083493772,0.000419851,60,0
D10_81,13,Acute,Control,14.375,14.375,6.67,0.088707312,0.00085266,10,0
D10_81,13,Acute,Predator,13.5,13.5,6,0.085892938,NA,20,0
D10_81,16,Acute,Control,10.67,10.67,10.67,0.118843945,0.005790996,10,0
D10_81,16,Acute,Predator,7.33,7.33,6.67,0.127224351,0.005287704,4,2.449489743
D10_81,20,Acclim,Control,13.015,13.015,10,0.203332025,0.004938933,0,0
D10_81,20,Acclim,Predator,16.02,16.02,11.33,0.138687026,0.025007429,13.33333333,3.333333333
D10_81,20,Acute,Control,7.66,7.66,7,0.129968608,0.020286682,7.5,2.5
D10_81,20,Acute,Predator,16.75,16.75,7.37,0.183367339,NA,3.333333333,3.333333333
D10_81,24,Acclim,Control,14.28,11.64,9,0.183802928,0.002785539,26.66666667,8.819171037
D10_81,24,Acclim,Predator,30.37,23,10,0.195795825,0.003437584,53.33333333,13.33333333
D10_81,24,Acute,Control,17.33,17.33,6,0.220517048,0.010233334,6.666666667,3.333333333
D10_81,24,Acute,Predator,23.67,23.67,8.67,0.223665167,0.000859896,23.33333333,8.819171037
D10_A13,13,Acclim,Control,22,13.67,6,0.074194114,0.004579053,16.66666667,3.333333333
D10_A13,13,Acclim,Predator,5.61,4.62,2.97,0.072283716,0.001452294,63.33333333,6.666666667
D10_A13,13,Acute,Control,17.67,17.67,7,0.070552922,NA,10,0
D10_A13,13,Acute,Predator,22,22,8.67,0.07677135,0.001555961,16.66666667,3.333333333
D10_A13,16,Acclim,Control,17.085,13.065,7.37,0.120794768,0.000673708,10,0
D10_A13,16,Acclim,Predator,32.36,27,10.33,0.127276209,0.001766016,43.33333333,14.52966315
D10_A13,16,Acute,Control,15.41,15.41,8.71,0.099043182,0.005072914,20,5.773502692
D10_A13,16,Acute,Predator,13.63,13.63,10,0.118454817,0.003438654,30,15.27525232
D10_A13,20,Acclim,Control,34.73,22.67,9,0.183413576,0.014537898,20,0
D10_A13,20,Acclim,Predator,32.34,17.34,9.67,0.211653789,0.004753678,40,5.773502692
D10_A13,20,Acute,Control,10.015,10.015,6.33,0.109617331,0.043400546,50,10
D10_A13,20,Acute,Predator,13.735,13.735,3.685,0.114943608,0.016177789,26.66666667,16.66666667
D10_A13,24,Acclim,Control,23.45,16.75,7.035,0.222217888,0.032036499,0,0
D10_A14,13,Acclim,Control,11.67,8.67,6.67,0.062270329,0.00090513,16.66666667,3.333333333
D10_A14,13,Acclim,Predator,20.69,16,7.67,0.06236985,0.00084081,66.66666667,12.01850425
D10_A14,13,Acute,Control,17,17,6.67,0.090720825,0.003929503,10,0
D10_A14,13,Acute,Predator,27,27,9,0.089512674,0.004705877,36.66666667,14.52966315
D10_A14,16,Acclim,Control,19.725,15.705,8,0.120984047,0.000420382,13.33333333,3.333333333
D10_A14,16,Acclim,Predator,6.015,6.015,3,0.101577044,0.001612542,36.66666667,12.01850425
D10_A14,16,Acute,Control,10,10,6.7,0.117211335,0.01017553,10,0
D10_A14,16,Acute,Predator,6.27,6.27,3.96,0.122815534,0.004085232,42,2
D10_A14,20,Acclim,Control,30.66,18.33,8,0.197825983,0.003085126,0,0
D10_A14,20,Acclim,Predator,35.01,23.34,9.67,0.137549986,0.001308512,63.33333333,8.819171037
D10_A14,20,Acute,Control,22.33,22.33,11.33,0.151044793,0.003780736,6.666666667,3.333333333
D10_A14,20,Acute,Predator,18,18,5,0.144383908,0.016202199,30,5.163977795
D10_A14,24,Acclim,Control,27.67,18.67,11,0.198412539,0.001209945,10,0
D10_A14,24,Acclim,Predator,5.315,5.315,2.345,0.139307155,0.001945759,6.666666667,3.333333333
D10_A14,24,Acute,Control,16.705,16.705,9.67,0.131741504,NA,6.666666667,3.333333333
D10_A14,24,Acute,Predator,14.655,14.655,9.045,NA,NA,10,10
D10_A14,28,Acclim,Control,11.33,5.33,2,0.169985879,0.003943344,23.33333333,13.33333333
D10_A14,28,Acclim,Predator,15,9,3,0.143685831,0.013464389,11.66666667,6.54047229
D10_A14,28,Acute,Control,3.5,3.5,1.5,0.111636448,NA,10,0
D10_A14,28,Acute,Predator,12,12,4,0.161727492,0.013096588,5,2.236067977
D86_A,13,Acclim,Control,7.035,3.015,1.34,0.059406947,0.004581412,10,0
D86_A,13,Acclim,Predator,9.8289,6.2578,2.4589,0.062768648,0.000494539,6.666666667,3.333333333
D86_A,13,Acute,Control,12.33,12.33,7.33,0.099449312,0.002486798,6.666666667,3.333333333
D86_A,13,Acute,Predator,23.34,23.34,5.67,0.101191827,0.001174606,10,0
D86_A,16,Acclim,Control,4.665,3.345,1.67,0.109744948,0.003183896,3.333333333,3.333333333
D86_A,16,Acclim,Predator,13.065,8.04,2.68,0.115098691,0.002094022,6.666666667,3.333333333
D86_A,16,Acute,Control,6.67,6.67,6.67,0.119036718,0.002591021,3.333333333,3.333333333
D86_A,16,Acute,Predator,18.04,18.04,10,0.133841222,0.002369974,3.333333333,3.333333333
D86_A,20,Acclim,Control,23,17,7,0.175069159,0.003573228,10,0
D86_A,20,Acclim,Predator,25.33,16.33,9,0.156706679,0.011178681,3.333333333,3.333333333
D86_A,20,Acute,Control,8.34,8.34,6.33,0.126644987,0.006648047,3.333333333,3.333333333
D86_A,20,Acute,Predator,27.33,27.33,8.33,0.139927876,0.002042799,0,0
D86_A,24,Acclim,Control,29.33,19,7.33,0.172546477,2.75E-05,16.66666667,6.666666667
D86_A,24,Acclim,Predator,14.74,14.74,6.03,NA,NA,0,0
D86_A,24,Acute,Control,10.385,10.385,4.02,0.15124224,NA,6.666666667,6.666666667
D86_A,24,Acute,Predator,4.69,4.69,4.69,0.143300885,0.001061835,0,0
D86_A,28,Acclim,Control,14.74,11.055,5.025,0.176753765,0.004584598,36.66666667,3.333333333
D86_A,28,Acclim,Predator,17.34,11.67,6,0.206793428,0.004910275,16.66666667,6.666666667
D86_A,28,Acute,Control,9.38,9.38,3.685,NA,NA,10,0
D86_A,28,Acute,Predator,13.695,13.695,7.33,0.137886029,0.001651656,0,0
D87_A,13,Acclim,Predator,18.67,11,4.67,0.073640078,0.002185521,10,0
D87_A,13,Acute,Control,11.17,11.17,3.5,0.062931017,0.002135756,0,0
D87_A,13,Acute,Predator,9.38,9.38,4.355,0.04237463,0.00405332,33.33333333,3.333333333
D87_A,16,Acclim,Control,10,6.25,2.25,0.084267137,0.000682184,0,0
D87_A,16,Acclim,Predator,12.5,10.5,7,0.134960101,0.000778963,10,0
D87_A,16,Acute,Control,8.71,8.71,2.68,0.09371556,0.010133983,0,0
D87_A,16,Acute,Predator,8.305,8.305,3.685,0.103049788,0.006486374,36.66666667,3.333333333
D87_A,20,Acclim,Control,28.66,17.33,5.33,0.159482256,0.001674426,0,0
D87_A,20,Acclim,Predator,32.67,19.67,8,0.141698066,0.007928224,6.666666667,3.333333333
D87_A,20,Acute,Control,13.375,13.375,5.67,0.149067176,0.008366969,0,0
D87_A,20,Acute,Predator,13.4,13.4,4.02,0.166153926,0.001895588,40,0
D87_A,24,Acclim,Control,9.487,6.652,3.652,0.154487809,0.007918888,1.111111111,1.111111111
D87_A,24,Acclim,Predator,18.685,16.705,8.33,0.160938758,0.001103365,NA,NA
D87_A,24,Acute,Control,16.75,9.38,4.69,0.178043987,0.010061465,3.333333333,3.333333333
D87_A,24,Acute,Predator,13.67,13.67,6.67,0.19097479,0.003173259,5,5
D87_A,28,Acclim,Control,12,7.67,3.67,0.172003417,0.016298193,10,0
D87_A,28,Acclim,Predator,12.73,6.03,2.68,0.159489857,NA,10,0
D87_A,28,Acute,Control,9.33,9.33,4,0.170650342,0.005233622,NA,NA
D87_A,28,Acute,Predator,5.025,5.025,3.015,0.174146426,0.001792733,40,0
LD33,13,Acclim,Control,3,3,3,0.059760107,0.001105192,16.66666667,3.333333333
LD33,13,Acute,Control,17.67,17.67,6,0.08249358,0.00074494,46.66666667,13.33333333
LD33,13,Acute,Predator,22,22,6.67,0.077268079,0.002000249,90,10
LD33,16,Acclim,Control,16.69,11.33,4,0.108547652,0.001513239,16.66666667,3.333333333
LD33,16,Acclim,Predator,0,0,0,0.102930833,0.000694598,70,23.4520788
LD33,16,Acute,Control,11.33,11.33,5,0.116106816,0.005683158,33.33333333,14.52966315
LD33,16,Acute,Predator,17.05,17.05,7.67,0.146279801,0.002633414,53.33333333,3.333333333
LD33,20,Acclim,Control,22.66,16.66,8.33,0.155600513,0.002008696,10,0
LD33,20,Acclim,Predator,32.3,19,9.67,0.128676926,0.00625422,53.33333333,3.333333333
LD33,20,Acute,Control,7.035,7.035,3.35,0.165845425,0.00084878,20,5.773502692
LD33,20,Acute,Predator,18.66,18.66,7.33,0.161668594,0.014048079,66.66666667,3.333333333
LD33,24,Acclim,Control,6,4.5,2,0.1545972,0,50,NA
LD33,24,Acclim,Predator,8,5.67,2.67,0.166535481,0.00088583,NA,NA
LD33,24,Acute,Control,3.68,3.68,3.35,0.197120291,0.003971406,20,5.773502692
LD33,24,Acute,Predator,5.34,5.34,3.33,0.150485766,0.004985431,56.66666667,3.333333333
LD33,28,Acute,Control,0,0,0,0.083556265,0.001698357,16.66666667,6.666666667
LD33,28,Acute,Predator,0,0,0,0.090967822,0.004210256,30,15.27525232
