ID,Temperature,Treatment,Clone,Experiment,Growth,maxInduction
D1045_24_C3,24,Control,D10_45,Acute,0.206993977,10
D1045_24_P1,24,Predator,D10_45,Acute,0.221134038,10
D1045_24_P2,24,Predator,D10_45,Acute,0.223931487,10
D1045_24_P3,24,Predator,D10_45,Acute,0.220652135,10
D87A_24_C1,24,Control,D87_A,Acute,0.193361178,10
D87A_24_C3,24,Control,D87_A,Acute,0.18168747,0
D87A_24_P1,24,Predator,D87_A,Acute,0.195578746,0
D87A_24_P2,24,Predator,D87_A,Acute,0.192455855,NA
D87A_24_P3,24,Predator,D87_A,Acute,0.184889769,10
LD33_24_C1,24,Control,LD33,Acute,0.189417971,20
LD33_24_C2,24,Control,LD33,Acute,0.2026513,10
LD33_24_C3,24,Control,LD33,Acute,0.1992916,30
C14_24_C2,24,Control,C14,Acute,0.18874287,20
AD10_1_24_C1_A,24,Control,AD10_1,Acclim,NA,0
AD10_1_24_C2_A,24,Control,AD10_1,Acclim,NA,0
AD10_1_24_C3_A,24,Control,AD10_1,Acclim,NA,0
D10_A14_24_P1_A,24,Predator,D10_A14,Acclim,0.14296009,0
Cyril_24_C1,24,Control,Cyril,Acute,0.202263884,0
Cyril_24_C2,24,Control,Cyril,Acute,0.19997549,0
Cyril_24_C3,24,Control,Cyril,Acute,0.206586136,0
Cyril_24_C1_A,24,Control,Cyril,Acclim,0.17178121,0
Cyril_24_C2_A,24,Control,Cyril,Acclim,0.162632971,0
Cyril_24_C3_A,24,Control,Cyril,Acclim,0.186994079,0
Cyril_24_P1_A,24,Predator,Cyril,Acclim,0.194667075,10
Cyril_24_P2_A,24,Predator,Cyril,Acclim,0.19897002,10
Cyril_24_P3_A,24,Predator,Cyril,Acclim,0.196210568,10
AD101_24_P3_A,24,Predator,AD10_1,Acclim,0.198771751,0
D1081_24_C1,24,Control,D10_81,Acute,0.200062822,10
D1081_24_C2,24,Control,D10_81,Acute,0.230126217,10
D1081_24_C3,24,Control,D10_81,Acute,0.231362106,0
D87A_24_C2_A2,24,Control,D87_A,Acclim,0.173249957,0
D87A_24_C3_A2,24,Control,D87_A,Acclim,0.173410003,10
D86A_24_P3,24,Predator,D86_A,Acute,0.14223905,0
C14_24_C1_A,24,Control,C14,Acclim,0.238981312,NA
C14_24_C2_A,24,Control,C14,Acclim,0.231500276,NA
C14_24_C4_A,24,Control,C14,Acclim,0.202477312,40
D10A13_24_C2_A,24,Control,D10_A13,Acclim,0.254254387,0
D1081_24_P1,24,Predator,D10_81,Acute,0.224413504,10
D1081_24_P2,24,Predator,D10_81,Acute,0.224631989,40
D1081_24_P3,24,Predator,D10_81,Acute,0.221950007,20
D86A_24_P2_A,24,Predator,D86_A,Acclim,NA,0
D86A_24_P3_A,24,Predator,D86_A,Acclim,NA,0
LD33_24_P1_A,24,Predator,LD33,Acclim,0.164966493,NA
LD33_24_P2_A,24,Predator,LD33,Acclim,0.169329682,NA
LD33_24_P3_A,24,Predator,LD33,Acclim,0.165310267,NA
D1081_24_P1_A,24,Predator,D10_81,Acclim,0.201355129,80
D1045_28_C2,28,Control,D10_45,Acute,0.192028121,10
D87A_28_C1,28,Control,D87_A,Acute,0.180044725,NA
D87A_28_C3,28,Control,D87_A,Acute,0.169950847,NA
D87A_28_P1,28,Predator,D87_A,Acute,0.175939159,40
D87A_28_P2,28,Predator,D87_A,Acute,0.172353692,40
D87A_28_C3_A,28,Control,D87_A,Acclim,0.201835303,10
C14_28_C1,28,Control,C14,Acute,0.193904341,10
C14_28_C2,28,Control,C14,Acute,0.209646092,20
AD10_1_28_C1_A,28,Control,AD10_1,Acclim,0.134805228,0
AD10_1_28_C3_A,28,Control,AD10_1,Acclim,0.158553304,0
D1045_28_P2_A,28,Predator,D10_45,Acclim,0.200799262,10
D1045_28_P3_A,28,Predator,D10_45,Acclim,0.18956414,10
C14_28_P1_A,28,Predator,C14,Acclim,0.208863841,60
C14_28_P2_A,28,Predator,C14,Acclim,0.19788637,60
C14_28_P3_A,28,Predator,C14,Acclim,0.211014296,70
AD10_1_28_P2_A,28,Predator,AD10_1,Acclim,0.201796874,10
D86A_28_P3,28,Predator,D86_A,Acute,0.136131634,0
D10A14_28_P1,28,Predator,D10_A14,Acute,0.17482408,0
D86A_28_P1_A,28,Predator,D86_A,Acclim,0.20942152,30
D86A_28_P2_A,28,Predator,D86_A,Acclim,0.197284735,10
D86A_28_P3_A,28,Predator,D86_A,Acclim,0.21367403,10
LD33_16_P1,16,Predator,LD33,Acute,0.1422142,60
LD33_16_P2,16,Predator,LD33,Acute,0.151212217,50
LD33_16_P3,16,Predator,LD33,Acute,0.145412985,50
AD10_1_20_C1,20,Control,AD10_1,Acute,0.113751388,10
AD10_1_20_C2,20,Control,AD10_1,Acute,0.109792666,10
AD10_1_20_C3,20,Control,AD10_1,Acute,0.115634932,10
D1045_20_C2,20,Control,D10_45,Acute,0.18152859,10
D1045_20_P1,20,Predator,D10_45,Acute,0.184198081,10
D87A_20_C1,20,Control,D87_A,Acute,0.165798249,0
D87A_20_P1,20,Predator,D87_A,Acute,0.165319295,40
D87A_20_P2,20,Predator,D87_A,Acute,0.169773944,40
D87A_20_P3,20,Predator,D87_A,Acute,0.16336854,NA
LD33_20_C1,20,Control,LD33,Acute,0.164823789,30
LD33_20_C2,20,Control,LD33,Acute,0.165182158,10
LD33_20_C3,20,Control,LD33,Acute,0.167530329,20
LD33_20_P1,20,Predator,LD33,Acute,0.171152586,70
LD33_20_P2,20,Predator,LD33,Acute,0.179830441,70
C14_20_C2,20,Control,C14,Acute,0.147185018,20
LD33_20_C1_A,20,Control,LD33,Acclim,0.152182098,10
LD33_20_C2_A,20,Control,LD33,Acclim,0.155482042,10
LD33_20_C3_A,20,Control,LD33,Acclim,0.159137399,10
D87A_20_C1_A,20,Control,D87_A,Acclim,0.157762371,0
D87A_20_C2_A,20,Control,D87_A,Acclim,0.157853704,0
D87A_20_C3_A,20,Control,D87_A,Acclim,0.162830692,0
D1045_20_C1_A,20,Control,D10_45,Acclim,0.172856737,0
D1045_20_C2_A,20,Control,D10_45,Acclim,0.169315845,10
D1045_20_C3_A,20,Control,D10_45,Acclim,0.163502634,10
LD33_20_P2_A,20,Predator,LD33,Acclim,0.120618934,50
D87A_20_P1_A,20,Predator,D87_A,Acclim,0.157537233,0
Cyril_20_C1,20,Control,Cyril,Acute,0.162241524,0
Cyril_20_C2,20,Control,Cyril,Acute,0.160920972,0
Cyril_20_C3,20,Control,Cyril,Acute,0.171297706,0
D1081_20_C1,20,Control,D10_81,Acute,0.188787354,0
D10A13_20_C1,20,Control,D10_A13,Acute,0.153017877,60
Cyril_20_P1,20,Predator,Cyril,Acute,0.148333123,10
Cyril_20_P2,20,Predator,Cyril,Acute,0.173720468,10
D86A_20_C3,20,Control,D86_A,Acute,0.133124106,0
Cyril_20_P1_A,20,Predator,Cyril,Acclim,0.179825207,0
Cyril_20_P2_A,20,Predator,Cyril,Acclim,0.172610408,0
Cyril_20_P3_A,20,Predator,Cyril,Acclim,0.172455859,0
D10A13_20_C1_A,20,Control,D10_A13,Acclim,0.167454826,20
D10A13_20_C3_A,20,Control,D10_A13,Acclim,0.170344432,20
C14_20_C1_A,20,Control,C14,Acclim,0.171688249,30
C14_20_C2_A,20,Control,C14,Acclim,0.173750624,30
C14_20_C3_A,20,Control,C14,Acclim,0.175278255,30
D86A_20_C1_A,20,Control,D86_A,Acclim,0.168005346,10
D86A_20_C2_A,20,Control,D86_A,Acclim,0.179539572,10
D86A_20_C3_A,20,Control,D86_A,Acclim,0.17766256,10
D1081_20_C1_A,20,Control,D10_81,Acclim,0.194017426,0
D1081_20_C2_A,20,Control,D10_81,Acclim,0.205141897,0
D1045_20_P1_A,20,Predator,D10_45,Acclim,0.175282561,10
D1045_20_P2_A,20,Predator,D10_45,Acclim,0.181555964,10
D1081_20_P1_A,20,Predator,D10_81,Acclim,0.180083423,20
D86A_20_P2_A,20,Predator,D86_A,Acclim,0.163471542,0
D86A_20_P3_A,20,Predator,D86_A,Acclim,0.171778683,0
D1045_24_C1,24,Control,D10_45,Acute,0.176692423,10
D87A_24_C2,24,Control,D87_A,Acute,0.159083313,0
LD33_24_P2,24,Predator,LD33,Acute,0.157872598,50
C14_24_C1,24,Control,C14,Acute,0.175121289,20
C14_24_C3,24,Control,C14,Acute,0.158733427,20
AD10_1_24_P1,24,Predator,AD10_1,Acute,0.176405946,NA
D87A_24_C1_A,24,Control,D87_A,Acclim,0.126884101,0
D87A_24_C2_A,24,Control,D87_A,Acclim,0.123648673,0
D87A_24_C3_A,24,Control,D87_A,Acclim,0.125228122,0
LD33_24_P1_A,24,Predator,LD33,Acclim,0.164966493,NA
LD33_24_P2_A,24,Predator,LD33,Acclim,0.169329682,NA
LD33_24_P3_A,24,Predator,LD33,Acclim,0.165310267,NA
D10_A14_24_P2,24,Predator,D10_A14,Acute,NA,NA
D10_A14_24_P3,24,Predator,D10_A14,Acute,NA,NA
D87A_24_P1_A,24,Predator,D87_A,Acclim,0.162675692,NA
D87A_24_P2_A,24,Predator,D87_A,Acclim,0.161249078,NA
D87A_24_P3_A,24,Predator,D87_A,Acclim,0.158891504,NA
D1045_24_P2_A,24,Predator,D10_45,Acclim,0.115625265,NA
D1045_24_P3_A,24,Predator,D10_45,Acclim,0.139563116,NA
D87A_24_C4_A,24,Control,D87_A,Acclim,0.149909649,0
D87A_24_C5_A,24,Control,D87_A,Acclim,0.184028491,0
D87A_24_C6_A,24,Control,D87_A,Acclim,0.170778199,0
D10_A14_24_P2_A,24,Predator,D10_A14,Acclim,0.136318798,10
D10_A14_24_P3_A,24,Predator,D10_A14,Acclim,0.138642577,10
D10A14_24_C2,24,Control,D10_A14,Acute,NA,10
D10A14_24_C3,24,Control,D10_A14,Acute,NA,0
C14_24_P3_A,24,Predator,C14,Acclim,0.164394906,60
AD101_24_P1_A,24,Predator,AD10_1,Acclim,0.197002455,0
AD101_24_P2_A,24,Predator,AD10_1,Acclim,0.197932222,10
D87A_24_C1_A2,24,Control,D87_A,Acclim,0.163253086,0
D86A_24_P1,24,Predator,D86_A,Acute,0.14436272,0
D10A14_24_C1_A,24,Control,D10_A14,Acclim,0.197202594,10
D10A14_24_C2_A,24,Control,D10_A14,Acclim,0.199622484,10
D86A_24_C2_A,24,Control,D86_A,Acclim,0.172573964,10
D86A_24_C3_A,24,Control,D86_A,Acclim,0.172518989,10
LD33_24_C1_A,24,Control,LD33,Acclim,0.1545972,50
D1081_24_C1_A,24,Control,D10_81,Acclim,0.188666551,30
D1081_24_C2_A,24,Control,D10_81,Acclim,0.183724105,10
D1081_24_C3_A,24,Control,D10_81,Acclim,0.179018128,40
D1081_24_P2_A,24,Predator,D10_81,Acclim,0.196519251,40
D1081_24_P3_A,24,Predator,D10_81,Acclim,0.189513095,40
D1045_28_P3,28,Predator,D10_45,Acute,0.168457939,20
D87A_28_C2,28,Control,D87_A,Acute,0.161955453,NA
C14_28_P1,28,Predator,C14,Acute,0.160944708,90
C14_28_P2,28,Predator,C14,Acute,0.154136476,60
D87A_28_C1_A,28,Control,D87_A,Acclim,0.145710425,10
D87A_28_C2_A,28,Control,D87_A,Acclim,0.168464523,10
AD10_1_28_P2,28,Predator,AD10_1,Acute,0.152219715,20
D1045_28_P1_A,28,Predator,D10_45,Acclim,0.150246631,10
AD10_1_28_P3_A,28,Predator,AD10_1,Acclim,0.163438575,0
D86A_28_C2,28,Control,D86_A,Acute,NA,10
D86A_28_C3,28,Control,D86_A,Acute,NA,10
AD101_28_P2_A,28,Predator,AD10_1,Acclim,0.177885138,10
C14_28_P2_A2,28,Predator,C14,Acclim,0.146049499,40
C14_28_P3_A2,28,Predator,C14,Acclim,0.183921856,10
D86A_28_P1,28,Predator,D86_A,Acute,0.141187165,0
D86A_28_P2,28,Predator,D86_A,Acute,0.136339288,0
D10A14_28_P2,28,Predator,D10_A14,Acute,0.148630904,0
D10A14_28_C1_A,28,Control,D10_A14,Acclim,0.163630986,10
D10A14_28_C2_A,28,Control,D10_A14,Acclim,0.169118402,10
D10A14_28_C3_A,28,Control,D10_A14,Acclim,0.177208248,50
D86A_28_C1_A,28,Control,D86_A,Acclim,0.181338363,30
D86A_28_C3_A,28,Control,D86_A,Acclim,0.172169168,40
D10A14_28_P2_A,28,Predator,D10_A14,Acclim,0.175576888,10
D10A14_28_P3_A,28,Predator,D10_A14,Acclim,0.159270143,40
Cyril_16_C1,16,Control,Cyril,Acute,0.141785886,0
Cyril_16_C2,16,Control,Cyril,Acute,0.139199766,0
Cyril_16_C3,16,Control,Cyril,Acute,0.141964916,0
C14_16_P2_A,16,Predator,C14,Acclim,0.139481037,80
D87A_16_P1_A,16,Predator,D87_A,Acclim,0.135739064,10
D87A_16_P2_A,16,Predator,D87_A,Acclim,0.134181138,10
AD101_16_P1_A,16,Predator,AD10_1,Acclim,NA,30
AD101_16_P2_A,16,Predator,AD10_1,Acclim,0.131961088,20
D1045_20_P2,20,Predator,D10_45,Acute,0.164961851,10
D87A_20_C2,20,Control,D87_A,Acute,0.140969873,0
D87A_20_C3,20,Control,D87_A,Acute,0.140433407,0
C14_20_P1,20,Predator,C14,Acute,0.168279411,60
C14_20_P3,20,Predator,C14,Acute,0.146685306,60
D10A14_20_C3,20,Control,D10_A14,Acute,0.147136462,0
D1081_20_P1,20,Predator,D10_81,Acute,NA,0
D1081_20_P2,20,Predator,D10_81,Acute,0.183367339,10
C14_20_P1_A,20,Predator,C14,Acclim,0.148667036,60
C14_20_P2_A,20,Predator,C14,Acclim,0.148695899,70
D86A_20_P1,20,Predator,D86_A,Acute,0.138515113,0
D86A_20_P2,20,Predator,D86_A,Acute,0.143954223,0
D86A_20_P3,20,Predator,D86_A,Acute,0.137314294,0
D10A14_20_P1,20,Predator,D10_A14,Acute,0.163500804,30
D10A14_20_P2,20,Predator,D10_A14,Acute,0.157484716,20
AD101_20_C1_A,20,Control,AD10_1,Acclim,0.154382084,10
AD101_20_C3_A,20,Control,AD10_1,Acclim,0.134240516,20
AD101_20_P1_A,20,Predator,AD10_1,Acclim,0.144112911,80
AD101_20_P2_A,20,Predator,AD10_1,Acclim,0.141442839,50
AD101_20_P3_A,20,Predator,AD10_1,Acclim,0.144940423,40
D1045_20_P3_A,20,Predator,D10_45,Acclim,0.140807409,10
D86A_20_P1_A,20,Predator,D86_A,Acclim,0.134869812,10
D10A14_20_P1_A,20,Predator,D10_A14,Acclim,0.138858497,60
D10A14_20_P2_A,20,Predator,D10_A14,Acclim,0.136241474,50
LD33_24_P1,24,Predator,LD33,Acute,0.152592315,60
LD33_24_P3,24,Predator,LD33,Acute,0.140992384,60
C14_24_P2,24,Predator,C14,Acute,0.152919142,NA
C14_24_P3,24,Predator,C14,Acute,0.134073228,NA
D86A_24_C3,24,Control,D86_A,Acute,0.15124224,0
D10A13_24_C1_A,24,Control,D10_A13,Acclim,0.190181388,0
AD10_1_28_C2,28,Control,AD10_1,Acute,0.09687243,10
AD10_1_28_P1,28,Predator,AD10_1,Acute,NA,20
D87A_28_P1_A,28,Predator,LD33,Acclim,0.11743348,0
D87A_28_P3_A,28,Predator,D87_A,Acclim,0.159489857,10
C14_28_C1_A,28,Control,C14,Acclim,0.114915084,0
C14_28_C2_A,28,Control,C14,Acclim,0.120249339,0
AD101_28_P3_A,28,Predator,AD10_1,Acclim,0.164361764,10
D10A14_28_P1_A,28,Predator,D10_A14,Acclim,0.148302182,20
LD33_16_C1,16,Control,LD33,Acute,0.12660888,10
LD33_16_C2,16,Control,LD33,Acute,0.114620738,30
LD33_16_C3,16,Control,LD33,Acute,0.107090832,60
AD10_1_16_C1,16,Control,AD10_1,Acute,0.128447927,10
AD10_1_16_C2,16,Control,AD10_1,Acute,0.12275311,10
AD10_1_16_C3,16,Control,AD10_1,Acute,0.124557961,10
C14_16_C3,16,Control,C14,Acute,0.105050919,50
D10_A14_16_P2,16,Predator,D10_A14,Acute,0.134845485,50
LD33_16_C1_A,16,Control,LD33,Acclim,0.106088911,20
LD33_16_C3_A,16,Control,LD33,Acclim,0.108248749,10
Cyril_16_P1,16,Predator,Cyril,Acute,0.118831765,10
D10A13_16_P1,16,Predator,D10_A13,Acute,0.120764445,10
D10A14_16_C3,16,Control,D10_A14,Acute,0.13739394,10
D86A_16_P1,16,Predator,D86_A,Acute,0.129276778,0
Cyril_16_C1_A,16,Control,Cyril,Acclim,0.130259933,0
Cyril_16_C2_A,16,Control,Cyril,Acclim,0.131773314,0
Cyril_16_C3_A,16,Control,Cyril,Acclim,0.132429857,0
D1081_16_P1,16,Predator,D10_81,Acute,0.128878703,0
D10A13_16_C1_A,16,Control,D10_A13,Acclim,0.120121061,10
D10A13_16_C3_A,16,Control,D10_A13,Acclim,0.121468476,10
D1045_16_P1_A,16,Predator,D10_45,Acclim,0.132292299,40
D1045_16_P2_A,16,Predator,D10_45,Acclim,0.132701008,50
Cyril_16_P2_A,16,Predator,Cyril,Acclim,0.133723182,10
Cyril_16_P3_A,16,Predator,Cyril,Acclim,0.129530907,10
D10A13_16_P1_A,16,Predator,D10_A13,Acclim,0.129648942,20
D10A13_16_P2_A,16,Predator,D10_A13,Acclim,0.123824,70
D10A13_16_P3_A,16,Predator,D10_A13,Acclim,0.128355686,40
D10A14_16_C1_A,16,Control,D10_A14,Acclim,0.121561984,20
D10A14_16_C2_A,16,Control,D10_A14,Acclim,0.121223903,10
D10A14_16_C3_A,16,Control,D10_A14,Acclim,0.120166253,10
D86A_16_P2_A,16,Predator,D86_A,Acclim,0.117192713,10
D86A_16_P3_A,16,Predator,D86_A,Acclim,0.113004668,0
D86A_16_C1_A,16,Control,D86_A,Acclim,0.11424699,10
D86A_16_C2_A,16,Control,D86_A,Acclim,0.103593889,0
D86A_16_C3_A,16,Control,D86_A,Acclim,0.111393964,0
LD33_16_P2_A,16,Predator,LD33,Acclim,0.103625432,100
D1045_20_C1,20,Control,D10_45,Acute,0.133132778,10
LD33_20_P3,20,Predator,LD33,Acute,0.134022755,60
LD33_20_P1_A,20,Predator,LD33,Acclim,0.140991294,60
LD33_20_P3_A,20,Predator,LD33,Acclim,0.124420549,50
D87A_20_P2_A,20,Predator,D87_A,Acclim,0.134419428,10
D87A_20_P3_A,20,Predator,D87_A,Acclim,0.133137537,10
Cyril_20_C1_A,20,Control,Cyril,Acclim,0.12961682,NA
Cyril_20_C2_A,20,Control,Cyril,Acclim,0.127913488,NA
Cyril_20_C3_A,20,Control,Cyril,Acclim,0.129994972,NA
D10A14_20_C1,20,Control,D10_A14,Acute,0.147393104,10
D10A14_20_C2,20,Control,D10_A14,Acute,0.158604812,10
D1081_20_C2,20,Control,D10_81,Acute,0.120780208,10
D10A13_20_P3,20,Predator,D10_A13,Acute,0.11250697,10
D1081_20_P3_A,20,Predator,D10_81,Acclim,0.14229661,10
AD10_1_24_P2,24,Predator,AD10_1,Acute,0.132970142,NA
AD10_1_24_P3,24,Predator,AD10_1,Acute,0.120378514,NA
AD10_1_28_P3,28,Predator,AD10_1,Acute,0.133827086,20
D1045_16_C1,16,Control,D10_45,Acute,0.116214148,20
D1045_16_C2,16,Control,D10_45,Acute,0.113201261,10
D1045_16_C3,16,Control,D10_45,Acute,0.113617487,10
D1045_16_P3,16,Predator,D10_45,Acute,0.117310091,10
D87A_16_C1,16,Control,D87_A,Acute,0.102666738,0
D87A_16_C2,16,Control,D87_A,Acute,0.104987991,0
D87A_16_P1,16,Predator,D87_A,Acute,0.109536162,40
D87A_16_P3,16,Predator,D87_A,Acute,0.096563414,30
C14_16_P1,16,Predator,C14,Acute,0.10892446,70
C14_16_P2,16,Predator,C14,Acute,0.117981677,60
C14_16_P3,16,Predator,C14,Acute,0.1124754,80
D10_A14_16_P1,16,Predator,D10_A14,Acute,0.120948237,40
D10_A14_16_P3,16,Predator,D10_A14,Acute,0.117274212,40
D1081_16_C1,16,Control,D10_81,Acute,0.130237813,10
D86A_16_C1,16,Control,D86_A,Acute,NA,0
D86A_16_C2,16,Control,D86_A,Acute,0.121627738,10
D86A_16_C3,16,Control,D86_A,Acute,0.116445697,0
D1081_16_P2,16,Predator,D10_81,Acute,0.135442991,10
D86A_16_P2,16,Predator,D86_A,Acute,0.135016775,0
D86A_16_P3,16,Predator,D86_A,Acute,0.137230114,10
AD101_16_C2_A,16,Control,AD10_1,Acclim,0.100102381,30
C14_16_P3_A,16,Predator,C14,Acclim,0.122125707,70
AD10_1_20_P1,20,Predator,AD10_1,Acute,0.122353996,50
AD10_1_20_P2,20,Predator,AD10_1,Acute,0.112796693,50
AD10_1_20_P3,20,Predator,AD10_1,Acute,0.118943337,50
D86A_20_C1,20,Control,D86_A,Acute,0.133460543,10
D86A_20_C2,20,Control,D86_A,Acute,0.113350311,0
D1081_20_C4,20,Control,D10_81,Acute,0.114179415,10
D10A13_20_P2,20,Predator,D10_A13,Acute,0.088220743,10
C14_24_P1,24,Predator,C14,Acute,0.127159843,NA
D10A14_24_C1,24,Control,D10_A14,Acute,0.131741504,10
AD10_1_28_C2_A,28,Control,AD10_1,Acclim,0.09898374,0
D10_A14_28_P3_A,28,Predator,D10_A14,Acclim,0.139863839,0
D10A14_28_C2,28,Control,D10_A14,Acute,0.111636448,10
D86A_12_P1,13,Predator,D86_A,Acute,NA,10
D86A_12_P2,13,Predator,D86_A,Acute,0.102366433,10
D86A_12_P3,13,Predator,D86_A,Acute,0.100017222,10
Cyril_12_P1_A,13,Predator,Cyril,Acclim,0.10386942,40
Cyril_12_P2_A,13,Predator,Cyril,Acclim,0.102133017,10
Cyril_12_P3_A,13,Predator,Cyril,Acclim,0.102467299,40
D1045_16_P2,16,Predator,D10_45,Acute,0.097247428,50
C14_16_C1,16,Control,C14,Acute,0.095080226,20
C14_16_C2,16,Control,C14,Acute,0.090942721,20
LD33_16_C2_A,16,Control,LD33,Acclim,0.111305297,20
D87A_16_C1_A,16,Control,D87_A,Acclim,0.084105028,0
D87A_16_C2_A,16,Control,D87_A,Acclim,0.085521399,0
D87A_16_C3_A,16,Control,D87_A,Acclim,0.083174984,0
D1045_16_C1_A,16,Control,D10_45,Acclim,0.104248533,10
D1045_16_C2_A,16,Control,D10_45,Acclim,0.101624869,20
D1045_16_C3_A,16,Control,D10_45,Acclim,0.106720167,10
D1081_16_C2,16,Control,D10_81,Acute,0.114947489,10
D1081_16_C3,16,Control,D10_81,Acute,0.111346531,10
D10A13_16_C3,16,Control,D10_A13,Acute,0.093970268,30
Cyril_16_P2,16,Predator,Cyril,Acute,0.112874938,10
Cyril_16_P3,16,Predator,Cyril,Acute,0.116760516,0
D10A13_16_P3,16,Predator,D10_A13,Acute,0.122910016,20
D1081_16_P3,16,Predator,D10_81,Acute,0.11735136,10
Cyril_16_P1_A,16,Predator,Cyril,Acclim,0.107802837,10
C14_16_C3_A,16,Control,C14,Acclim,0.097633486,30
LD33_16_P1_A,16,Predator,LD33,Acclim,0.102236235,90
D10A14_16_P2_A,16,Predator,D10_A14,Acclim,0.100045911,30
D10A14_16_P3_A,16,Predator,D10_A14,Acclim,0.104800779,60
D10A14_16_P1_A,16,Predator,D10_A14,Acclim,0.099884441,20
D10A14_20_P3,20,Predator,D10_A14,Acute,0.112166203,10
D1081_20_P2_A,20,Predator,D10_81,Acclim,0.093681046,10
D10A13_24_P2,24,Predator,D10_A14,Acute,NA,0
D10_A14_28_P2_A,28,Predator,D10_A14,Acclim,0.095416101,0
D1081_12_C3,13,Control,D10_81,Acute,0.090061959,10
D86A_12_C1,13,Control,D86_A,Acute,0.103985389,0
D86A_12_C2,13,Control,D86_A,Acute,0.09541478,10
D86A_12_C3,13,Control,D86_A,Acute,0.098947768,10
D10A14_12_C2,13,Control,D10_A14,Acute,0.091601428,10
D10A14_12_C3,13,Control,D10_A14,Acute,0.097043761,10
D1045_12_C1_A,13,Control,D10_45,Acclim,0.091103049,10
D1045_12_C2_A,13,Control,D10_45,Acclim,0.092669356,20
D1045_12_C3_A,13,Control,D10_45,Acclim,0.084651377,10
Cyril_12_C1_A,13,Control,Cyril,Acclim,0.092432395,0
Cyril_12_C2_A,13,Control,Cyril,Acclim,0.090638999,0
Cyril_12_C3_A,13,Control,Cyril,Acclim,0.090499949,0
D10A13_12_C2_A,13,Control,D10_A13,Acclim,0.083350943,20
D1081_12_P1_A,13,Predator,D10_81,Acclim,0.082939121,60
D1081_12_P2_A,13,Predator,D10_81,Acclim,0.083225117,60
D1081_12_P3_A,13,Predator,D10_81,Acclim,0.084317078,60
C14_12_P3_A,13,Predator,C14,Acclim,0.072800424,100
AD10_1_16_P1,16,Predator,AD10_1,Acute,0.098209703,50
D10A13_16_C1,16,Control,D10_A13,Acute,0.104116096,20
D10A13_16_P2,16,Predator,D10_A13,Acute,0.111689991,60
D10A14_16_C2,16,Control,D10_A14,Acute,0.10485705,10
D10A14_16_P2,16,Predator,D10_A14,Acute,0.118194202,40
D1081_20_C3,20,Control,D10_81,Acute,0.096127456,10
D10A13_24_P3,24,Predator,D10_A14,Acute,NA,30
LD33_28_P2,28,Predator,LD33,Acute,0.095178078,20
LD33_12_C1,13,Control,LD33,Acute,0.083607808,20
LD33_12_C2,13,Control,LD33,Acute,0.081079917,60
LD33_12_C3,13,Control,LD33,Acute,0.082793016,60
D1081_12_C1,13,Control,D10_81,Acute,0.088927089,10
D1081_12_C2,13,Control,D10_81,Acute,0.087132889,10
C14_12_C1,13,Control,C14,Acute,0.083783855,30
D10A13_12_P1,13,Predator,D10_A13,Acute,NA,10
D10A13_12_P2,13,Predator,D10_A13,Acute,0.078327312,20
D10A13_12_P3,13,Predator,D10_A13,Acute,0.075215389,20
