ID,Treatment,Temperature,Clone,Experiment,maxInduction,Growth1,Growth2
AD101_12_C1,Control,13,AD10_1,Acute,0,0.090665769,0.066169328
AD101_12_C2,Control,13,AD10_1,Acute,0,0.074802426,0.050900695
AD101_12_C3,Control,13,AD10_1,Acute,10,0.073891983,0.051509204
AD101_12_P1,Predator,13,AD10_1,Acute,10,0.084508638,0.062465532
AD101_12_P2,Predator,13,AD10_1,Acute,20,0.077086009,0.056917663
AD101_12_P3,Predator,13,AD10_1,Acute,20,0.083765733,0.063703476
AD101_16_C1_A,Control,16,AD10_1,Acclim,20,NA,NA
AD101_16_C2_A,Control,16,AD10_1,Acclim,30,0.100102381,0.100102381
AD101_16_P1_A,Predator,16,AD10_1,Acclim,30,NA,NA
AD101_16_P2_A,Predator,16,AD10_1,Acclim,20,0.131961088,0.094777788
AD101_16_P3_A,Predator,16,AD10_1,Acclim,40,NA,NA
AD101_20_C1_A,Control,20,AD10_1,Acclim,10,0.154382084,0.118127724
AD101_20_C2_A,Control,20,AD10_1,Acclim,10,NA,NA
AD101_20_C3_A,Control,20,AD10_1,Acclim,20,0.134240516,0.098691102
AD101_20_P1_A,Predator,20,AD10_1,Acclim,80,0.144112911,0.149585536
AD101_20_P2_A,Predator,20,AD10_1,Acclim,50,0.141442839,0.146382541
AD101_20_P3_A,Predator,20,AD10_1,Acclim,40,0.144940423,0.149518347
AD101_24_P1_A,Predator,24,AD10_1,Acclim,0,0.197002455,0.154885396
AD101_24_P2_A,Predator,24,AD10_1,Acclim,10,0.197932222,0.171266876
AD101_24_P3_A,Predator,24,AD10_1,Acclim,0,0.198771751,0.155590891
AD101_28_P1_A,Predator,28,AD10_1,Acclim,10,NA,NA
AD101_28_P2_A,Predator,28,AD10_1,Acclim,10,0.177885138,0.137087232
AD101_28_P3_A,Predator,28,AD10_1,Acclim,10,0.164361764,0.12833536
C14_12_C1,Control,13,C14,Acute,30,0.083783855,0.064794548
C14_12_C1_A,Control,13,C14,Acclim,50,0.062025091,0.062431513
C14_12_C2,Control,13,C14,Acute,30,0.069700964,0.055818359
C14_12_C2_A,Control,13,C14,Acclim,30,0.046929777,0.048140496
C14_12_C3,Control,13,C14,Acute,20,0.078613407,0.062022295
C14_12_C3_A,Control,13,C14,Acclim,40,0.047566916,0.047295195
C14_12_P1,Predator,13,C14,Acute,70,0.082317642,0.081719946
C14_12_P1_A,Predator,13,C14,Acclim,100,0.066554435,0.066965241
C14_12_P2,Predator,13,C14,Acute,90,0.075070303,0.075849734
C14_12_P2_A,Predator,13,C14,Acclim,100,0.068608408,0.06757448
C14_12_P3,Predator,13,C14,Acute,90,0.067077481,0.067730564
C14_12_P3_A,Predator,13,C14,Acclim,100,0.072800424,0.073279524
C14_16_C1,Control,16,C14,Acute,20,0.095080226,0.07784366
C14_16_C1_A,Control,16,C14,Acclim,20,NA,NA
C14_16_C2,Control,16,C14,Acute,20,0.090942721,0.076339144
C14_16_C2_A,Control,16,C14,Acclim,30,NA,NA
C14_16_C3,Control,16,C14,Acute,50,0.105050919,0.080254701
C14_16_C3_A,Control,16,C14,Acclim,30,0.097633486,0.099291399
C14_16_P1,Predator,16,C14,Acute,70,0.10892446,0.109832043
C14_16_P1_A,Predator,16,C14,Acclim,100,NA,NA
C14_16_P2,Predator,16,C14,Acute,60,0.117981677,0.116830937
C14_16_P2_A,Predator,16,C14,Acclim,80,0.139481037,0.105351175
C14_16_P3,Predator,16,C14,Acute,80,0.1124754,0.113473953
C14_16_P3_A,Predator,16,C14,Acclim,70,0.122125707,0.099357953
C14_20_C1,Control,20,C14,Acute,20,NA,NA
C14_20_C1_A,Control,20,C14,Acclim,30,0.171688249,0.129432551
C14_20_C2,Control,20,C14,Acute,20,0.147185018,0.114095668
C14_20_C2_A,Control,20,C14,Acclim,30,0.173750624,0.131479529
C14_20_C3,Control,20,C14,Acute,20,NA,NA
C14_20_C3_A,Control,20,C14,Acclim,30,0.175278255,0.128134457
C14_20_P1,Predator,20,C14,Acute,60,0.168279411,0.044557479
C14_20_P1_A,Predator,20,C14,Acclim,60,0.148667036,0.115903251
C14_20_P2,Predator,20,C14,Acute,70,NA,NA
C14_20_P2_A,Predator,20,C14,Acclim,70,0.148695899,0.119387178
C14_20_P3,Predator,20,C14,Acute,60,0.146685306,0.016446326
C14_20_P3_A,Predator,20,C14,Acclim,70,NA,NA
C14_24_C1,Control,24,C14,Acute,20,0.175121289,0.103576925
C14_24_C1_A,Control,24,C14,Acclim,NA,0.238981312,0.092043125
C14_24_C2,Control,24,C14,Acute,20,0.18874287,0.095590675
C14_24_C2_A,Control,24,C14,Acclim,NA,0.231500276,0.216435874
C14_24_C3,Control,24,C14,Acute,20,0.158733427,0.103625532
C14_24_C3_A,Control,24,C14,Acclim,40,NA,NA
C14_24_C4_A,Control,24,C14,Acclim,40,0.202477312,0.099392117
C14_24_P1,Predator,24,C14,Acute,NA,0.127159843,0.100458996
C14_24_P1_A,Predator,24,C14,Acclim,60,NA,NA
C14_24_P2,Predator,24,C14,Acute,NA,0.152919142,0.125206213
C14_24_P2_A,Predator,24,C14,Acclim,60,NA,NA
C14_24_P3,Predator,24,C14,Acute,NA,0.134073228,0.102544178
C14_24_P3_A,Predator,24,C14,Acclim,60,0.164394906,0.133596964
C14_24_P3_A,Predator,24,C14,Acclim,60,0.164394906,0.133596964
C14_24_P3_A,Predator,24,C14,Acclim,60,0.164394906,0.133596964
C14_24_P3_A,Predator,24,C14,Acclim,60,0.164394906,0.133596964
C14_28_C1,Control,28,C14,Acute,10,0.193904341,0.108444385
C14_28_C1_A,Control,28,C14,Acclim,0,0.114915084,0.091502533
C14_28_C1_A2,Control,28,C14,Acclim,20,NA,NA
C14_28_C2,Control,28,C14,Acute,20,0.209646092,0.119221604
C14_28_C2_A,Control,28,C14,Acclim,0,0.120249339,0.084655226
C14_28_C2_A2,Control,28,C14,Acclim,10,NA,NA
C14_28_C3,Control,28,C14,Acute,20,NA,NA
C14_28_C3_A,Control,28,C14,Acclim,0,NA,NA
C14_28_C3_A2,Control,28,C14,Acclim,10,NA,NA
C14_28_P1,Predator,28,C14,Acute,90,0.160944708,0.088829549
C14_28_P1_A,Predator,28,C14,Acclim,60,0.208863841,0.116124708
C14_28_P1_A2,Predator,28,C14,Acclim,30,NA,NA
C14_28_P2,Predator,28,C14,Acute,60,0.154136476,0.087358058
C14_28_P2_A,Predator,28,C14,Acclim,60,0.19788637,0.122158797
C14_28_P2_A2,Predator,28,C14,Acclim,40,0.146049499,0.13263622
C14_28_P3,Predator,28,C14,Acute,NA,NA,NA
C14_28_P3_A,Predator,28,C14,Acclim,70,0.211014296,0.117201629
C14_28_P3_A2,Predator,28,C14,Acclim,10,0.183921856,0.154606745
Cyril_12_C1,Control,13,Cyril,Acute,0,0.066955426,0.06893577
Cyril_12_C1_A,Control,13,Cyril,Acclim,0,0.092432395,0.089588916
Cyril_12_C2,Control,13,Cyril,Acute,0,0.068671813,0.069100539
Cyril_12_C2_A,Control,13,Cyril,Acclim,0,0.090638999,0.090486849
Cyril_12_C3,Control,13,Cyril,Acute,0,NA,NA
Cyril_12_C3_A,Control,13,Cyril,Acclim,0,0.090499949,0.089608677
Cyril_12_P1,Predator,13,Cyril,Acute,40,0.067050809,0.052108923
Cyril_12_P1_A,Predator,13,Cyril,Acclim,40,0.10386942,0.105334052
Cyril_12_P2,Predator,13,Cyril,Acute,40,NA,NA
Cyril_12_P2_A,Predator,13,Cyril,Acclim,10,0.102133017,0.100382773
Cyril_12_P3,Predator,13,Cyril,Acute,40,0.076243534,0.060484282
Cyril_12_P3,Predator,13,Cyril,Acute,40,0.076243534,0.060484282
Cyril_12_P3,Predator,13,Cyril,Acute,40,0.076243534,0.060484282
Cyril_12_P3,Predator,13,Cyril,Acute,40,0.076243534,0.060484282
Cyril_12_P3_A,Predator,13,Cyril,Acclim,40,0.102467299,0.102138892
Cyril_16_C1,Control,16,Cyril,Acute,0,0.141785886,0.147968816
Cyril_16_C1_A,Control,16,Cyril,Acclim,0,0.130259933,0.125263612
Cyril_16_C2,Control,16,Cyril,Acute,0,0.139199766,0.146206424
Cyril_16_C2_A,Control,16,Cyril,Acclim,0,0.131773314,0.129226537
Cyril_16_C3,Control,16,Cyril,Acute,0,0.141964916,0.151774876
Cyril_16_C3_A,Control,16,Cyril,Acclim,0,0.132429857,0.12722077
Cyril_16_P1,Predator,16,Cyril,Acute,10,0.118831765,0.089802271
Cyril_16_P1_A,Predator,16,Cyril,Acclim,10,0.107802837,0.103158553
Cyril_16_P2,Predator,16,Cyril,Acute,10,0.112874938,0.094535486
Cyril_16_P2_A,Predator,16,Cyril,Acclim,10,0.133723182,0.129492319
Cyril_16_P3,Predator,16,Cyril,Acute,0,0.116760516,0.095069216
Cyril_16_P3_A,Predator,16,Cyril,Acclim,10,0.129530907,0.126949401
Cyril_20_C1,Control,20,Cyril,Acute,0,0.162241524,0.11804601
Cyril_20_C1_A,Control,20,Cyril,Acclim,NA,0.12961682,0.128965211
Cyril_20_C2,Control,20,Cyril,Acute,0,0.160920972,0.114342492
Cyril_20_C2_A,Control,20,Cyril,Acclim,NA,0.127913488,0.1222163
Cyril_20_C3,Control,20,Cyril,Acute,0,0.171297706,0.125056223
Cyril_20_C3_A,Control,20,Cyril,Acclim,NA,0.129994972,0.126655875
Cyril_20_P1,Predator,20,Cyril,Acute,10,0.148333123,0.126606154
Cyril_20_P1_A,Predator,20,Cyril,Acclim,0,0.179825207,0.137350541
Cyril_20_P2,Predator,20,Cyril,Acute,10,0.173720468,0.131197381
Cyril_20_P2_A,Predator,20,Cyril,Acclim,0,0.172610408,0.141117895
Cyril_20_P3,Predator,20,Cyril,Acute,10,0.214746539,0.165304423
Cyril_20_P3_A,Predator,20,Cyril,Acclim,0,0.172455859,0.13684895
Cyril_24_C1,Control,24,Cyril,Acute,0,0.202263884,0.149030393
Cyril_24_C1_A,Control,24,Cyril,Acclim,0,0.17178121,0.12973318
Cyril_24_C2,Control,24,Cyril,Acute,0,0.19997549,0.154032426
Cyril_24_C2_A,Control,24,Cyril,Acclim,0,0.162632971,0.123446773
Cyril_24_C3,Control,24,Cyril,Acute,0,0.206586136,0.155110791
Cyril_24_C3_A,Control,24,Cyril,Acclim,0,0.186994079,0.137180632
Cyril_24_P1,Predator,24,Cyril,Acute,10,0.253939284,0.199499827
Cyril_24_P1_A,Predator,24,Cyril,Acclim,10,0.194667075,0.15571545
Cyril_24_P2,Predator,24,Cyril,Acute,20,0.254787029,0.205495013
Cyril_24_P2_A,Predator,24,Cyril,Acclim,10,0.19897002,0.164285476
Cyril_24_P3,Predator,24,Cyril,Acute,0,0.256265394,0.199549561
Cyril_24_P3_A,Predator,24,Cyril,Acclim,10,0.196210568,0.161182529
Cyril_28_C1,Control,28,Cyril,Acute,0,0.240269761,0.174059116
Cyril_28_C1_A,Control,28,Cyril,Acclim,0,0.2241115,0.167799849
Cyril_28_C2,Control,28,Cyril,Acute,0,0.251610457,0.176918056
Cyril_28_C2_A,Control,28,Cyril,Acclim,0,0.22674399,0.163777452
Cyril_28_C3,Control,28,Cyril,Acute,0,NA,NA
Cyril_28_C3_A,Control,28,Cyril,Acclim,0,0.237270139,0.163760295
Cyril_28_P1,Predator,28,Cyril,Acute,0,0.240666723,0.116385574
Cyril_28_P1_A,Predator,28,Cyril,Acclim,0,NA,NA
Cyril_28_P2,Predator,28,Cyril,Acute,0,0.245553745,0.119676519
Cyril_28_P2_A,Predator,28,Cyril,Acclim,0,NA,NA
Cyril_28_P3,Predator,28,Cyril,Acute,0,0.241173732,0.111851812
Cyril_28_P3_A,Predator,28,Cyril,Acclim,0,NA,NA
D10_A14_16_P1,Predator,16,D10_A14,Acute,40,0.120948237,0.120032352
D10_A14_16_P2,Predator,16,D10_A14,Acute,50,0.134845485,0.130493549
D10_A14_16_P3,Predator,16,D10_A14,Acute,40,0.117274212,0.113550727
D10_A14_20_P1,Predator,20,D10_A14,Acute,40,NA,NA
D10_A14_20_P2,Predator,20,D10_A14,Acute,40,NA,NA
D10_A14_20_P3,Predator,20,D10_A14,Acute,40,NA,NA
D10_A14_24_P1,Predator,24,D10_A14,Acute,NA,NA,NA
D10_A14_24_P1_A,Predator,24,D10_A14,Acclim,0,0.14296009,0.084103159
D10_A14_24_P2,Predator,24,D10_A14,Acute,NA,NA,0.149135775
D10_A14_24_P2_A,Predator,24,D10_A14,Acclim,10,0.136318798,0.091641258
D10_A14_24_P3,Predator,24,D10_A14,Acute,NA,NA,0.143754704
D10_A14_24_P3_A,Predator,24,D10_A14,Acclim,10,0.138642577,0.093751085
D10_A14_28_P1,Predator,28,D10_A14,Acute,10,NA,NA
D10_A14_28_P1_A,Predator,28,D10_A14,Acclim,0,NA,NA
D10_A14_28_P2,Predator,28,D10_A14,Acute,10,NA,NA
D10_A14_28_P2_A,Predator,28,D10_A14,Acclim,0,0.095416101,0.075784952
D10_A14_28_P3,Predator,28,D10_A14,Acute,10,NA,NA
D10_A14_28_P3_A,Predator,28,D10_A14,Acclim,0,0.139863839,0.092786486
D1045_12_C1,Control,13,D10_45,Acute,10,0.058343885,0.061024551
D1045_12_C1_A,Control,13,D10_45,Acclim,10,0.091103049,0.090970432
D1045_12_C2,Control,13,D10_45,Acute,50,0.068406176,0.070317046
D1045_12_C2_A,Control,13,D10_45,Acclim,20,0.092669356,0.093769631
D1045_12_C3,Control,13,D10_45,Acute,10,0.066756805,0.067979154
D1045_12_C3_A,Control,13,D10_45,Acclim,10,0.084651377,0.084913741
D1045_12_P1,Predator,13,D10_45,Acute,10,0.075991657,0.076700617
D1045_12_P1_A,Predator,13,D10_45,Acclim,60,0.079522676,0.078775326
D1045_12_P2,Predator,13,D10_45,Acute,40,0.073540442,0.074843444
D1045_12_P2_A,Predator,13,D10_45,Acclim,70,0.075193891,0.074980216
D1045_12_P3,Predator,13,D10_45,Acute,40,0.077775013,0.080384986
D1045_12_P3_A,Predator,13,D10_45,Acclim,10,NA,NA
D1045_16_C1,Control,16,D10_45,Acute,20,0.116214148,0.116702894
D1045_16_C1_A,Control,16,D10_45,Acclim,10,0.104248533,0.075261268
D1045_16_C2,Control,16,D10_45,Acute,10,0.113201261,0.111174838
D1045_16_C2_A,Control,16,D10_45,Acclim,20,0.101624869,0.072820065
D1045_16_C3,Control,16,D10_45,Acute,10,0.113617487,0.110655537
D1045_16_C3_A,Control,16,D10_45,Acclim,10,0.106720167,0.075505711
D1045_16_P1,Predator,16,D10_45,Acute,40,NA,NA
D1045_16_P1_A,Predator,16,D10_45,Acclim,40,0.132292299,0.132292299
D1045_16_P2,Predator,16,D10_45,Acute,50,0.097247428,0.097701122
D1045_16_P2_A,Predator,16,D10_45,Acclim,50,0.132701008,0.13511744
D1045_16_P3,Predator,16,D10_45,Acute,10,0.117310091,0.116857879
D1045_16_P3_A,Predator,16,D10_45,Acclim,60,0.087598632,0.086917893
D1045_20_C1,Control,20,D10_45,Acute,10,0.133132778,0.115961607
D1045_20_C1_A,Control,20,D10_45,Acclim,0,0.172856737,0.131755741
D1045_20_C2,Control,20,D10_45,Acute,10,0.18152859,0.142743935
D1045_20_C2_A,Control,20,D10_45,Acclim,10,0.169315845,0.127074361
D1045_20_C3,Control,20,D10_45,Acute,10,NA,NA
D1045_20_C3_A,Control,20,D10_45,Acclim,10,0.163502634,0.126610817
D1045_20_P1,Predator,20,D10_45,Acute,10,0.184198081,0.145083398
D1045_20_P1_A,Predator,20,D10_45,Acclim,10,0.175282561,0.129784002
D1045_20_P2,Predator,20,D10_45,Acute,10,0.164961851,0.135337878
D1045_20_P2_A,Predator,20,D10_45,Acclim,10,0.181555964,0.133551252
D1045_20_P3,Predator,20,D10_45,Acute,30,NA,NA
D1045_20_P3_A,Predator,20,D10_45,Acclim,10,0.140807409,0.10427096
D1045_24_C1,Control,24,D10_45,Acute,10,0.176692423,0.155898868
D1045_24_C1_A,Control,24,D10_45,Acclim,10,0.30687191,0.250949149
D1045_24_C2,Control,24,D10_45,Acute,10,0.204193388,0.162254873
D1045_24_C2_A,Control,24,D10_45,Acclim,10,0.264748136,0.231956538
D1045_24_C3,Control,24,D10_45,Acute,10,0.206993977,0.161048354
D1045_24_C3_A,Control,24,D10_45,Acclim,10,NA,NA
D1045_24_P1,Predator,24,D10_45,Acute,10,0.221134038,0.172000512
D1045_24_P1_A,Predator,24,D10_45,Acclim,NA,NA,NA
D1045_24_P2,Predator,24,D10_45,Acute,10,0.223931487,0.175298058
D1045_24_P2_A,Predator,24,D10_45,Acclim,NA,0.115625265,0.091118085
D1045_24_P3,Predator,24,D10_45,Acute,10,0.220652135,0.169795662
D1045_24_P3_A,Predator,24,D10_45,Acclim,NA,0.139563116,0.140170282
D1045_28_C1,Control,28,D10_45,Acute,10,NA,NA
D1045_28_C1_A,Control,28,D10_45,Acclim,0,NA,NA
D1045_28_C1_A2,Control,28,D10_45,Acclim,0,NA,NA
D1045_28_C1_A2,Predator,28,D10_45,Acclim,10,NA,NA
D1045_28_C2,Control,28,D10_45,Acute,10,0.192028121,0.154321981
D1045_28_C3,Control,28,D10_45,Acute,10,NA,NA
D1045_28_P1,Predator,28,D10_45,Acute,10,NA,NA
D1045_28_P1_A,Predator,28,D10_45,Acclim,10,0.150246631,0.129821802
D1045_28_P2,Predator,28,D10_45,Acute,10,NA,NA
D1045_28_P2_A,Predator,28,D10_45,Acclim,10,0.200799262,0.136100957
D1045_28_P2_A2,Predator,28,D10_45,Acclim,10,NA,NA
D1045_28_P3,Predator,28,D10_45,Acute,20,0.168457939,0.139356128
D1045_28_P3_A,Predator,28,D10_45,Acclim,10,0.18956414,0.118687279
D1045_28_P3_A2,Predator,28,D10_45,Acclim,10,NA,NA
D1081_12_C1,Control,13,D10_81,Acute,10,0.088927089,0.086576204
D1081_12_C1_A,Control,13,D10_81,Acclim,10,0.096458689,0.078556962
D1081_12_C2,Control,13,D10_81,Acute,10,0.087132889,0.085421672
D1081_12_C2_A,Control,13,D10_81,Acclim,10,0.099190319,0.081887039
D1081_12_C3,Control,13,D10_81,Acute,10,0.090061959,0.088531896
D1081_12_P1,Predator,13,D10_81,Acute,20,0.085892938,0.089728951
D1081_12_P1_A,Predator,13,D10_81,Acclim,60,0.082939121,0.083058975
D1081_12_P2,Predator,13,D10_81,Acute,20,NA,NA
D1081_12_P2_A,Predator,13,D10_81,Acclim,60,0.083225117,0.084217314
D1081_12_P3_A,Predator,13,D10_81,Acclim,60,0.084317078,0.08529724
D1081_16_C1,Control,16,D10_81,Acute,10,0.130237813,0.098182987
D1081_16_C2,Control,16,D10_81,Acute,10,0.114947489,0.11882094
D1081_16_C3,Control,16,D10_81,Acute,10,0.111346531,0.111656609
D1081_16_P1,Control,16,D10_81,Acute,10,NA,NA
D1081_16_P1,Predator,16,D10_81,Acute,0,0.128878703,0.099550264
D1081_16_P1_A,Predator,16,D10_81,Acute,0,NA,NA
D1081_16_P2,Predator,16,D10_81,Acute,10,0.135442991,0.10716587
D1081_16_P2_A,Predator,16,D10_81,Acute,0,NA,NA
D1081_16_P3,Predator,16,D10_81,Acute,10,0.11735136,0.094553328
D1081_20_C1,Control,20,D10_81,Acute,0,0.188787354,0.145505447
D1081_20_C1_A,Control,20,D10_81,Acclim,0,0.194017426,0.149606387
D1081_20_C2,Control,20,D10_81,Acute,10,0.120780208,NA
D1081_20_C2_A,Control,20,D10_81,Acclim,0,0.205141897,0.1492964
D1081_20_C3,Control,20,D10_81,Acute,10,0.096127456,0.081430681
D1081_20_C3_A,Control,20,D10_81,Acclim,0,0.210836753,0.151316347
D1081_20_C4,Control,20,D10_81,Acute,10,0.114179415,NA
D1081_20_P1,Predator,20,D10_81,Acute,0,NA,0.141913967
D1081_20_P1_A,Predator,20,D10_81,Acclim,20,0.180083423,0.138739877
D1081_20_P2,Predator,20,D10_81,Acute,10,0.183367339,0.136099031
D1081_20_P2_A,Predator,20,D10_81,Acclim,10,0.093681046,0.084929108
D1081_20_P3,Predator,20,D10_81,Acute,0,NA,NA
D1081_20_P3_A,Predator,20,D10_81,Acclim,10,0.14229661,0.113664824
D1081_24_C1,Control,24,D10_81,Acute,10,0.200062822,0.086733683
D1081_24_C1_A,Control,24,D10_81,Acclim,30,0.188666551,0.142659801
D1081_24_C2,Control,24,D10_81,Acute,10,0.230126217,0.134152364
D1081_24_C2_A,Control,24,D10_81,Acclim,10,0.183724105,0.137995315
D1081_24_C3,Control,24,D10_81,Acute,0,0.231362106,0.120958117
D1081_24_C3_A,Control,24,D10_81,Acclim,40,0.179018128,0.135932038
D1081_24_P1,Predator,24,D10_81,Acute,10,0.224413504,0.113138646
D1081_24_P1_A,Predator,24,D10_81,Acclim,80,0.201355129,0.147791343
D1081_24_P2,Predator,24,D10_81,Acute,40,0.224631989,0.11247743
D1081_24_P2_A,Predator,24,D10_81,Acclim,40,0.196519251,0.154605793
D1081_24_P3,Predator,24,D10_81,Acute,20,0.221950007,0.114417551
D1081_24_P3_A,Predator,24,D10_81,Acclim,40,0.189513095,0.154096618
D1081_28_C1,Control,28,D10_81,Acute,10,NA,NA
D1081_28_C2,Control,28,D10_81,Acute,10,NA,NA
D1081_28_C3,Control,28,D10_81,Acute,10,NA,NA
D10A13_12_C1,Control,13,D10_A13,Acute,10,NA,NA
D10A13_12_C1_A,Control,13,D10_A13,Acclim,10,0.069483293,0.070084379
D10A13_12_C2,Control,13,D10_A13,Acute,10,0.070552922,0.073678136
D10A13_12_C2_A,Control,13,D10_A13,Acclim,20,0.083350943,0.085050228
D10A13_12_C3,Control,13,D10_A13,Acute,10,NA,NA
D10A13_12_C3_A,Control,13,D10_A13,Acclim,20,0.069748105,0.070950297
D10A13_12_P1,Predator,13,D10_A13,Acute,10,NA,NA
D10A13_12_P1_A,Predator,13,D10_A13,Acclim,50,0.074173841,0.073536083
D10A13_12_P2,Predator,13,D10_A13,Acute,20,0.078327312,0.079179834
D10A13_12_P2_A,Predator,13,D10_A13,Acclim,70,0.069428667,0.068504611
D10A13_12_P3,Predator,13,D10_A13,Acute,20,0.075215389,0.075543258
D10A13_12_P3_A,Predator,13,D10_A13,Acclim,70,0.07324864,0.073355409
D10A13_16_C1,Control,16,D10_A13,Acute,20,0.104116096,0.108262506
D10A13_16_C1_A,Control,16,D10_A13,Acclim,10,0.120121061,0.08762843
D10A13_16_C2,Control,16,D10_A13,Acute,10,NA,NA
D10A13_16_C2_A,Control,16,D10_A13,Acclim,10,NA,NA
D10A13_16_C3,Control,16,D10_A13,Acute,30,0.093970268,0.072106702
D10A13_16_C3_A,Control,16,D10_A13,Acclim,10,0.121468476,0.088232402
D10A13_16_P1,Predator,16,D10_A13,Acute,10,0.120764445,0.087942786
D10A13_16_P1_A,Predator,16,D10_A13,Acclim,20,0.129648942,0.092079037
D10A13_16_P2,Predator,16,D10_A13,Acute,60,0.111689991,0.115424539
D10A13_16_P2_A,Predator,16,D10_A13,Acclim,70,0.123824,0.11999292
D10A13_16_P3,Predator,16,D10_A13,Acute,20,0.122910016,0.125371174
D10A13_16_P3_A,Predator,16,D10_A13,Acclim,40,0.128355686,0.090676005
D10A13_20_C1,Control,20,D10_A13,Acute,60,0.153017877,0.120332064
D10A13_20_C1_A,Control,20,D10_A13,Acclim,20,0.167454826,NA
D10A13_20_C2,Control,20,D10_A13,Acute,60,0.066216785,0.053466392
D10A13_20_C2_A,Control,20,D10_A13,Acclim,20,0.212441469,0.162918453
D10A13_20_C3,Control,20,D10_A13,Acute,30,NA,NA
D10A13_20_C3_A,Control,20,D10_A13,Acclim,20,0.170344432,0.130699206
D10A13_20_P1,Predator,20,D10_A13,Acute,60,0.144103109,0.099429104
D10A13_20_P1_A,Predator,20,D10_A13,Acclim,30,0.21992316,NA
D10A13_20_P2,Predator,20,D10_A13,Acute,10,0.088220743,0.086261555
D10A13_20_P2_A,Predator,20,D10_A13,Acclim,50,0.203456409,NA
D10A13_20_P3,Predator,20,D10_A13,Acute,10,0.11250697,0.090940276
D10A13_20_P3_A,Predator,20,D10_A13,Acclim,40,0.211581799,NA
D10A13_24_C1,Control,24,D10_A13,Acute,0,NA,NA
D10A13_24_C1_A,Control,24,D10_A13,Acclim,0,0.190181388,0.119945889
D10A13_24_C2,Control,24,D10_A13,Acute,70,0.169634709,NA
D10A13_24_C2_A,Control,24,D10_A13,Acclim,0,0.254254387,0.134360331
D10A13_24_C3,Control,24,D10_A13,Acute,70,0.164796691,NA
D10A13_24_C3_A,Control,24,D10_A13,Acclim,0,NA,NA
D10A13_24_P1,Predator,24,D10_A13,Acute,0,NA,NA
D10A13_24_P2,Predator,24,D10_A13,Acute,0,NA,NA
D10A13_24_P3,Predator,24,D10_A13,Acute,30,NA,NA
D10A13_28_C1,Control,28,D10_A13,Acute,0,NA,NA
D10A13_28_C2,Control,28,D10_A13,Acute,0,NA,NA
D10A13_28_C3,Control,28,D10_A13,Acute,0,NA,NA
D10A13_28_P1,Predator,28,D10_A13,Acute,20,NA,NA
D10A13_28_P2,Predator,28,D10_A13,Acute,0,NA,NA
D10A13_28_P3,Predator,28,D10_A13,Acute,10,NA,NA
